external_id,subject_id,subject_name,subject_fullname,root_name
1067512,24,Balıkçılık,Fen > Temel Bilimler > Balıkçılık,Fen
1067512,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1067512,74,Fizikokimya,Fen > Temel Bilimler > Fizikokimya,Fen
1067512,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1067512,182,Su Kaynakları,Fen > Temel Bilimler > Su Kaynakları,Fen
1086494,69,"Fizik, Akışkanlar ve Plazma","Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma",Fen
1086494,76,"Fizik, Uygulamalı","Fen > Temel Bilimler > Fizik, Uygulamalı",Fen
1086494,190,Termodinamik,Fen > Temel Bilimler > Termodinamik,Fen
1086503,69,"Fizik, Akışkanlar ve Plazma","Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma",Fen
1086503,76,"Fizik, Uygulamalı","Fen > Temel Bilimler > Fizik, Uygulamalı",Fen
1098443,36,Biyofizik,Fen > Tıp > Biyofizik,Fen
1098443,149,Nörolojik Bilimler,Fen > Tıp > Nörolojik Bilimler,Fen
1098443,67,Felsefe,Sosyal > Sosyal > Felsefe,Sosyal
1098443,167,Psikoloji,Sosyal > Sosyal > Psikoloji,Sosyal
1100840,144,"Mühendislik, Kimya","Fen > Mühendislik > Mühendislik, Kimya",Fen
1100840,69,"Fizik, Akışkanlar ve Plazma","Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma",Fen
1100840,74,Fizikokimya,Fen > Temel Bilimler > Fizikokimya,Fen
1100840,190,Termodinamik,Fen > Temel Bilimler > Termodinamik,Fen
1101637,69,"Fizik, Akışkanlar ve Plazma","Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma",Fen
1101637,76,"Fizik, Uygulamalı","Fen > Temel Bilimler > Fizik, Uygulamalı",Fen
1101637,205,Ziraat Mühendisliği,Fen > Ziraat > Ziraat Mühendisliği,Fen
1109559,24,Balıkçılık,Fen > Temel Bilimler > Balıkçılık,Fen
1109559,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1109559,39,Biyoloji Çeşitliliğinin Korunması,Fen > Temel Bilimler > Biyoloji Çeşitliliğinin Korunması,Fen
1109559,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1109559,57,Ekoloji,Fen > Temel Bilimler > Ekoloji,Fen
1109559,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1109559,158,Oşinografi,Fen > Temel Bilimler > Oşinografi,Fen
1109559,43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen
1110197,60,Enerji ve Yakıtlar,Fen > Mühendislik > Enerji ve Yakıtlar,Fen
1110197,104,Jeoloji,Fen > Mühendislik > Jeoloji,Fen
1110197,146,"Mühendislik, Petrol","Fen > Mühendislik > Mühendislik, Petrol",Fen
1111572,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1111572,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1111572,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1111584,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1111584,43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen
1111584,135,Mikrobiyoloji,Fen > Tıp > Mikrobiyoloji,Fen
1111598,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1111598,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1111603,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1111603,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1111603,207,Zooloji,Fen > Temel Bilimler > Zooloji,Fen
1111608,24,Balıkçılık,Fen > Temel Bilimler > Balıkçılık,Fen
1111608,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1111608,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1111608,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1111608,161,Parazitoloji,Fen > Temel Bilimler > Parazitoloji,Fen
1111608,207,Zooloji,Fen > Temel Bilimler > Zooloji,Fen
1111899,36,Biyofizik,Fen > Tıp > Biyofizik,Fen
1111899,80,Genel ve Dahili Tıp,Fen > Tıp > Genel ve Dahili Tıp,Fen
1111899,107,Kalp ve Kalp Damar Sistemi,Fen > Tıp > Kalp ve Kalp Damar Sistemi,Fen
1111899,191,Tıbbi Araştırmalar Deneysel,Fen > Tıp > Tıbbi Araştırmalar Deneysel,Fen
1111899,193,Tıbbi İnformatik,Fen > Tıp > Tıbbi İnformatik,Fen
1114131,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1114131,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1114131,43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen
1115630,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1115630,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1115630,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1115996,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1115996,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1115996,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1115996,43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen
1116039,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1116039,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1116039,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1116039,182,Su Kaynakları,Fen > Temel Bilimler > Su Kaynakları,Fen
1116039,202,Viroloji,Fen > Temel Bilimler > Viroloji,Fen
1116039,43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen
1118123,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1118123,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1118123,43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen
1118547,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1118547,35,Bitki Bilimleri,Fen > Ziraat > Bitki Bilimleri,Fen
1118547,42,Coğrafya,Sosyal > Sosyal > Coğrafya,Sosyal
1118550,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1118550,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1120763,36,Biyofizik,Fen > Tıp > Biyofizik,Fen
1120763,80,Genel ve Dahili Tıp,Fen > Tıp > Genel ve Dahili Tıp,Fen
1120763,191,Tıbbi Araştırmalar Deneysel,Fen > Tıp > Tıbbi Araştırmalar Deneysel,Fen
1121072,134,Meteoroloji ve Atmosferik Bilimler,Fen > Mühendislik > Meteoroloji ve Atmosferik Bilimler,Fen
1121072,145,"Mühendislik, Makine","Fen > Mühendislik > Mühendislik, Makine",Fen
1121072,69,"Fizik, Akışkanlar ve Plazma","Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma",Fen
1121072,76,"Fizik, Uygulamalı","Fen > Temel Bilimler > Fizik, Uygulamalı",Fen
1123140,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1123140,110,"Kimya, Analitik","Fen > Temel Bilimler > Kimya, Analitik",Fen
1123140,114,"Kimya, Uygulamalı","Fen > Temel Bilimler > Kimya, Uygulamalı",Fen
1123140,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1123140,158,Oşinografi,Fen > Temel Bilimler > Oşinografi,Fen
1123140,43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen
1123145,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1123145,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1123145,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1123145,158,Oşinografi,Fen > Temel Bilimler > Oşinografi,Fen
1123145,43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen
1123371,36,Biyofizik,Fen > Tıp > Biyofizik,Fen
1123371,181,Spor Bilimleri,Fen > Tıp > Spor Bilimleri,Fen
1124186,15,Alerji,Fen > Tıp > Alerji,Fen
1124186,49,Dermatoloji,Fen > Tıp > Dermatoloji,Fen
1124186,163,Pediatri,Fen > Tıp > Pediatri,Fen
1124186,198,Tropik Tıp,Fen > Tıp > Tropik Tıp,Fen
1124355,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1124355,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1124355,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1124355,207,Zooloji,Fen > Temel Bilimler > Zooloji,Fen
1124355,183,Tamamlayıcı ve Entegre Tıp,Fen > Tıp > Tamamlayıcı ve Entegre Tıp,Fen
1124359,24,Balıkçılık,Fen > Temel Bilimler > Balıkçılık,Fen
1124359,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1124359,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1124359,207,Zooloji,Fen > Temel Bilimler > Zooloji,Fen
1124364,24,Balıkçılık,Fen > Temel Bilimler > Balıkçılık,Fen
1124364,110,"Kimya, Analitik","Fen > Temel Bilimler > Kimya, Analitik",Fen
1124364,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1124364,43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen
1124368,83,Gıda Bilimi ve Teknolojisi,Fen > Mühendislik > Gıda Bilimi ve Teknolojisi,Fen
1124368,203,"Yeşil, Sürdürülebilir Bilim ve Teknoloji","Fen > Mühendislik > Yeşil, Sürdürülebilir Bilim ve Teknoloji",Fen
1124368,24,Balıkçılık,Fen > Temel Bilimler > Balıkçılık,Fen
1124368,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1124368,87,Halk ve Çevre Sağlığı,Fen > Tıp > Halk ve Çevre Sağlığı,Fen
1124368,172,Sağlık Bilimleri ve Hizmetleri,Fen > Tıp > Sağlık Bilimleri ve Hizmetleri,Fen
1125019,36,Biyofizik,Fen > Tıp > Biyofizik,Fen
1125019,37,Biyokimya ve Moleküler Biyoloji,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,Fen
1125019,80,Genel ve Dahili Tıp,Fen > Tıp > Genel ve Dahili Tıp,Fen
1125019,107,Kalp ve Kalp Damar Sistemi,Fen > Tıp > Kalp ve Kalp Damar Sistemi,Fen
1126080,69,"Fizik, Akışkanlar ve Plazma","Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma",Fen
1126080,74,Fizikokimya,Fen > Temel Bilimler > Fizikokimya,Fen
1126080,190,Termodinamik,Fen > Temel Bilimler > Termodinamik,Fen
1126359,97,İnşaat Mühendisliği,Fen > Mühendislik > İnşaat Mühendisliği,Fen
1126359,69,"Fizik, Akışkanlar ve Plazma","Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma",Fen
1126359,182,Su Kaynakları,Fen > Temel Bilimler > Su Kaynakları,Fen
1127237,113,"Kimya, Tıbbi","Fen > Temel Bilimler > Kimya, Tıbbi",Fen
1127237,36,Biyofizik,Fen > Tıp > Biyofizik,Fen
1127237,37,Biyokimya ve Moleküler Biyoloji,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,Fen
1127237,40,Biyoteknoloji ve Uygulamalı Mikrobiyoloji,Fen > Tıp > Biyoteknoloji ve Uygulamalı Mikrobiyoloji,Fen
1127237,135,Mikrobiyoloji,Fen > Tıp > Mikrobiyoloji,Fen
1127237,153,Onkoloji,Fen > Tıp > Onkoloji,Fen
1127237,194,Tıbbi Laboratuar Teknolojisi,Fen > Tıp > Tıbbi Laboratuar Teknolojisi,Fen
1127429,146,"Mühendislik, Petrol","Fen > Mühendislik > Mühendislik, Petrol",Fen
1127429,184,Tarımsal Ekonomi ve Politika,Fen > Ziraat > Tarımsal Ekonomi ve Politika,Fen
1127429,176,Siyasi Bilimler,Sosyal > Sosyal > Siyasi Bilimler,Sosyal
1127429,93,İktisat,Sosyal > Sosyal > İktisat,Sosyal
1127467,12,Adli Tıp,Fen > Tıp > Adli Tıp,Fen
1127467,135,Mikrobiyoloji,Fen > Tıp > Mikrobiyoloji,Fen
1127467,198,Tropik Tıp,Fen > Tıp > Tropik Tıp,Fen
1128680,113,"Kimya, Tıbbi","Fen > Temel Bilimler > Kimya, Tıbbi",Fen
1128680,36,Biyofizik,Fen > Tıp > Biyofizik,Fen
1128680,37,Biyokimya ve Moleküler Biyoloji,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,Fen
1128680,91,Hücre Biyolojisi,Fen > Tıp > Hücre Biyolojisi,Fen
1128695,47,Denizcilik,Fen > Mühendislik > Denizcilik,Fen
1128695,104,Jeoloji,Fen > Mühendislik > Jeoloji,Fen
1128695,140,"Mühendislik, Deniz","Fen > Mühendislik > Mühendislik, Deniz",Fen
1128695,143,"Mühendislik, Jeoloji","Fen > Mühendislik > Mühendislik, Jeoloji",Fen
1128695,146,"Mühendislik, Petrol","Fen > Mühendislik > Mühendislik, Petrol",Fen
1128774,144,"Mühendislik, Kimya","Fen > Mühendislik > Mühendislik, Kimya",Fen
1128774,145,"Mühendislik, Makine","Fen > Mühendislik > Mühendislik, Makine",Fen
1128774,146,"Mühendislik, Petrol","Fen > Mühendislik > Mühendislik, Petrol",Fen
1128774,97,İnşaat Mühendisliği,Fen > Mühendislik > İnşaat Mühendisliği,Fen
1128774,98,İnşaat ve Yapı Teknolojisi,Fen > Mühendislik > İnşaat ve Yapı Teknolojisi,Fen
1130638,146,"Mühendislik, Petrol","Fen > Mühendislik > Mühendislik, Petrol",Fen
1130638,20,Arkeoloji,Sosyal > Sosyal > Arkeoloji,Sosyal
1130638,108,Kamu Yönetimi,Sosyal > Sosyal > Kamu Yönetimi,Sosyal
1130638,185,Tarih,Sosyal > Sosyal > Tarih,Sosyal
1130638,199,Uluslararası İlişkiler,Sosyal > Sosyal > Uluslararası İlişkiler,Sosyal
1132628,146,"Mühendislik, Petrol","Fen > Mühendislik > Mühendislik, Petrol",Fen
1132628,93,İktisat,Sosyal > Sosyal > İktisat,Sosyal
1133272,11,Acil Tıp,Fen > Tıp > Acil Tıp,Fen
1133272,87,Halk ve Çevre Sağlığı,Fen > Tıp > Halk ve Çevre Sağlığı,Fen
1133272,135,Mikrobiyoloji,Fen > Tıp > Mikrobiyoloji,Fen
1133272,198,Tropik Tıp,Fen > Tıp > Tropik Tıp,Fen
1133523,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1133523,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1133523,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1133523,182,Su Kaynakları,Fen > Temel Bilimler > Su Kaynakları,Fen
1133523,207,Zooloji,Fen > Temel Bilimler > Zooloji,Fen
1133669,87,Halk ve Çevre Sağlığı,Fen > Tıp > Halk ve Çevre Sağlığı,Fen
1133669,135,Mikrobiyoloji,Fen > Tıp > Mikrobiyoloji,Fen
1133669,198,Tropik Tıp,Fen > Tıp > Tropik Tıp,Fen
1133669,89,Hemşirelik,Sosyal > Sosyal > Hemşirelik,Sosyal
1133669,173,Sağlık Politikaları ve Hizmetleri,Sosyal > Sosyal > Sağlık Politikaları ve Hizmetleri,Sosyal
1133670,196,Toksikoloji,Fen > Eczacılık > Toksikoloji,Fen
1133670,87,Halk ve Çevre Sağlığı,Fen > Tıp > Halk ve Çevre Sağlığı,Fen
1133670,135,Mikrobiyoloji,Fen > Tıp > Mikrobiyoloji,Fen
1133670,198,Tropik Tıp,Fen > Tıp > Tropik Tıp,Fen
1135160,103,Jeokimya ve Jeofizik,Fen > Mühendislik > Jeokimya ve Jeofizik,Fen
1135160,104,Jeoloji,Fen > Mühendislik > Jeoloji,Fen
1135160,143,"Mühendislik, Jeoloji","Fen > Mühendislik > Mühendislik, Jeoloji",Fen
1135160,146,"Mühendislik, Petrol","Fen > Mühendislik > Mühendislik, Petrol",Fen
1135561,161,Parazitoloji,Fen > Temel Bilimler > Parazitoloji,Fen
1135561,135,Mikrobiyoloji,Fen > Tıp > Mikrobiyoloji,Fen
1135561,198,Tropik Tıp,Fen > Tıp > Tropik Tıp,Fen
1135585,161,Parazitoloji,Fen > Temel Bilimler > Parazitoloji,Fen
1135585,11,Acil Tıp,Fen > Tıp > Acil Tıp,Fen
1135585,172,Sağlık Bilimleri ve Hizmetleri,Fen > Tıp > Sağlık Bilimleri ve Hizmetleri,Fen
1135585,198,Tropik Tıp,Fen > Tıp > Tropik Tıp,Fen
1135585,204,"Yoğun Bakım, Tıp","Fen > Tıp > Yoğun Bakım, Tıp",Fen
1135593,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1135593,161,Parazitoloji,Fen > Temel Bilimler > Parazitoloji,Fen
1135593,202,Viroloji,Fen > Temel Bilimler > Viroloji,Fen
1135593,172,Sağlık Bilimleri ve Hizmetleri,Fen > Tıp > Sağlık Bilimleri ve Hizmetleri,Fen
1135593,198,Tropik Tıp,Fen > Tıp > Tropik Tıp,Fen
1136203,41,Cerrahi,Fen > Tıp > Cerrahi,Fen
