external_id,subject_id,subject_name,subject_fullname,root_name
1198493,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1198493,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1198493,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1198493,182,Su Kaynakları,Fen > Temel Bilimler > Su Kaynakları,Fen
1198493,202,Viroloji,Fen > Temel Bilimler > Viroloji,Fen
1198493,43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen
1199887,103,Jeokimya ve Jeofizik,Fen > Mühendislik > Jeokimya ve Jeofizik,Fen
1199887,104,Jeoloji,Fen > Mühendislik > Jeoloji,Fen
1199887,134,Meteoroloji ve Atmosferik Bilimler,Fen > Mühendislik > Meteoroloji ve Atmosferik Bilimler,Fen
1199887,143,"Mühendislik, Jeoloji","Fen > Mühendislik > Mühendislik, Jeoloji",Fen
1199887,45,Çevre Mühendisliği,Fen > Mühendislik > Çevre Mühendisliği,Fen
1199887,97,İnşaat Mühendisliği,Fen > Mühendislik > İnşaat Mühendisliği,Fen
1199887,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1199887,182,Su Kaynakları,Fen > Temel Bilimler > Su Kaynakları,Fen
1201616,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1201616,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1201616,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1201616,158,Oşinografi,Fen > Temel Bilimler > Oşinografi,Fen
1201628,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1201628,48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen
1201628,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1201628,158,Oşinografi,Fen > Temel Bilimler > Oşinografi,Fen
1205328,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1205328,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1205328,43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen
1207229,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen
1207229,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1207229,182,Su Kaynakları,Fen > Temel Bilimler > Su Kaynakları,Fen
1207229,207,Zooloji,Fen > Temel Bilimler > Zooloji,Fen
1207229,43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen
1210981,113,"Kimya, Tıbbi","Fen > Temel Bilimler > Kimya, Tıbbi",Fen
1210981,114,"Kimya, Uygulamalı","Fen > Temel Bilimler > Kimya, Uygulamalı",Fen
1210981,120,Limnoloji,Fen > Temel Bilimler > Limnoloji,Fen
1210981,136,Mikroskopi,Fen > Temel Bilimler > Mikroskopi,Fen
1210981,161,Parazitoloji,Fen > Temel Bilimler > Parazitoloji,Fen
1210981,43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen
