cluster_id,taxonomy_path,display_name_level_1,display_name_level_2,display_name_level_3,x_center,y_center,size,dominant_category,category_purity
1,Fen > Tıp > Tıbbi İnformatik,Fen,Tıp,Tıbbi İnformatik,3.3446162,2.214953,2,Fen > Tıp > Tıbbi İnformatik,0.5
8,Sosyal > Sağlık Politikaları ve Hizmetleri,Sosyal,Küme #8,Küme #8,4.698844,2.0607219,6,Sosyal > Sağlık Politikaları ve Hizmetleri,0.33
17,Sosyal > Folklor,Sosyal,Folklor,Folklor,5.1329985,3.754109,1,Sosyal > Folklor,1.0
23,Fen > Tıp > Adli Tıp,Fen,Tıp,Adli Tıp,3.5088105,6.611297,1,Fen > Tıp > Adli Tıp,1.0
28,Fen > Temel Bilimler > Zooloji,Fen,Temel Bilimler,Zooloji,7.45843,0.34330118,2,Fen > Temel Bilimler > Zooloji,0.5
31,Sosyal > Coğrafya,Sosyal,Coğrafya,Coğrafya,6.477532,6.26559,1,Sosyal > Coğrafya,1.0
32,Fen > Tıp > Üroloji ve Nefroloji,Fen,Tıp,Üroloji ve Nefroloji,5.3337593,5.7453537,2,Fen > Tıp > Üroloji ve Nefroloji,0.5
34,Sosyal > İletişim,Sosyal,İletişim,İletişim,5.708731,1.8768868,1,Sosyal > İletişim,1.0
35,Fen > Mühendislik > Polimer Bilimi,Fen,Küme #35,Küme #35,9.196403,9.248849,3,Fen > Mühendislik > Polimer Bilimi,0.33
40,Fen > Tıp > Biyofizik,Fen,Küme #40,Küme #40,8.642365,10.717305,4,Fen > Tıp > Biyofizik,0.25
41,Fen > Tıp > Transplantasyon,Fen,Tıp,Transplantasyon,6.3729334,5.063985,2,Fen > Tıp > Transplantasyon,0.5
43,Sosyal > Hemşirelik,Sosyal,Hemşirelik,Hemşirelik,6.982562,1.3516227,1,Sosyal > Hemşirelik,1.0
45,Sosyal > İşletme,Sosyal,İşletme,İşletme,4.8792195,6.1689467,2,Sosyal > İşletme,1.0
48,Fen > Tıp > Sağlık Bilimleri ve Hizmetleri,Fen,Tıp,Sağlık Bilimleri ve Hizmetleri,4.68909,4.1006274,1,Fen > Tıp > Sağlık Bilimleri ve Hizmetleri,1.0
50,"Fen > Temel Bilimler > Kimya, Analitik",Fen,Temel Bilimler,"Kimya, Analitik",6.9861846,3.5245044,5,"Fen > Temel Bilimler > Kimya, Analitik",0.4
54,Fen > Temel Bilimler > Matematik,Fen,Temel Bilimler,Matematik,7.3237686,0.57071865,1,Fen > Temel Bilimler > Matematik,1.0
58,Fen > Temel Bilimler > Matematik,Fen,Temel Bilimler,Matematik,8.655395,5.3604054,2,Fen > Temel Bilimler > Matematik,0.5
59,Sosyal > Tarih,Sosyal,Küme #59,Küme #59,6.878801,5.885933,6,Sosyal > Tarih,0.33
66,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,Fen,Tıp,Biyokimya ve Moleküler Biyoloji,7.4077673,1.097266,1,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,1.0
68,Sosyal > Kriminoloji ve Ceza Bilimi,Sosyal,Kriminoloji ve Ceza Bilimi,Kriminoloji ve Ceza Bilimi,4.300343,7.1587224,1,Sosyal > Kriminoloji ve Ceza Bilimi,1.0
72,Fen > Mühendislik > Nükleer Bilim ve Teknolojisi,Fen,Mühendislik,Nükleer Bilim ve Teknolojisi,4.254684,4.738539,1,Fen > Mühendislik > Nükleer Bilim ve Teknolojisi,1.0
73,Fen > Tıp > Göz Hastalıkları,Fen,Tıp,Göz Hastalıkları,1.2855333,5.9087644,1,Fen > Tıp > Göz Hastalıkları,1.0
76,Fen > Ziraat > Ziraat Mühendisliği,Fen,Ziraat,Ziraat Mühendisliği,8.3193,4.163648,1,Fen > Ziraat > Ziraat Mühendisliği,1.0
77,Fen > Ziraat > Ziraat Mühendisliği,Fen,Ziraat,Ziraat Mühendisliği,8.228002,3.9245863,1,Fen > Ziraat > Ziraat Mühendisliği,1.0
78,Fen > Veterinerlik,Fen,Veterinerlik,Veterinerlik,9.30294,1.9757473,2,Fen > Veterinerlik,1.0
79,Fen > Eczacılık > Farmakoloji ve Eczacılık,Fen,Küme #79,Küme #79,9.089017,2.6832514,13,Fen > Eczacılık > Farmakoloji ve Eczacılık,0.31
82,"Sosyal > Eğitim, Eğitim Araştırmaları",Sosyal,"Eğitim, Eğitim Araştırmaları","Eğitim, Eğitim Araştırmaları",2.170339,3.773359,3,"Sosyal > Eğitim, Eğitim Araştırmaları",0.67
86,Fen > Tıp > Adli Tıp,Fen,Tıp,Adli Tıp,9.77626,8.136441,1,Fen > Tıp > Adli Tıp,1.0
89,Sosyal > Hemşirelik,Sosyal,Hemşirelik,Hemşirelik,3.4265687,1.7126166,1,Sosyal > Hemşirelik,1.0
90,Fen > Temel Bilimler > Kuş Bilimi,Fen,Temel Bilimler,Kuş Bilimi,4.7843738,4.46759,1,Fen > Temel Bilimler > Kuş Bilimi,1.0
91,Fen > Temel Bilimler > Optik,Fen,Temel Bilimler,Optik,4.5202155,2.9154646,1,Fen > Temel Bilimler > Optik,1.0
93,Fen > Ziraat > Bitki Bilimleri,Fen,Ziraat,Bitki Bilimleri,10.146105,6.530145,2,Fen > Ziraat > Bitki Bilimleri,0.5
94,Sosyal > Müzik,Sosyal,Müzik,Müzik,4.6432977,4.5780993,2,Sosyal > Müzik,1.0
95,Fen > Tıp > Klinik Nöroloji,Fen,Tıp,Klinik Nöroloji,2.2697682,4.3575006,1,Fen > Tıp > Klinik Nöroloji,1.0
