external_id,baslik,Karar,Gerekce,mevcut_kategori,oneri_kategori,knn_oneri,oncelik,risk_skoru,glosh_skoru,hdbscan_kume,knn_baskinlik,tam_kategori_yollari,oneri_yol,label_sim_fark,knn_impurity,ortak_agac_derinligi,supheli_mi
1392146,UZAY MUHASEBESİNİ BEKLEYEN ZORLUKLARIN MUHASEBE VE DENETİM AÇISINDAN DEĞERLENDİRİLMESİ,TP-2,"Veritabanındaki ""Coğrafya"" etiketi tamamen hatalı; uzay ticareti ve muhasebesi üzerine melez çalışma.","Coğrafya, İşletme","Mühendislik, Hava ve Uzay",Astronomi ve Astrofizik,KRİTİK (Farklı Ana Disiplin),0.7559444684785375,0.9454334811376608,-1,0.5,Sosyal > Sosyal > Coğrafya | Sosyal > Sosyal > İşletme,"Fen > Mühendislik > Mühendislik, Hava ve Uzay",0.3416745662689209,1.0,0,1
1406776,İklim değişikliği karşısında hastane dayanıklılık stratejilerinin analizi: Bulanık AHS yaklaşımı,TP-2,"Sağlık yönetimi, afet dayanıklılığı ve çevre sağlığı stratejisi kesişimidir; İşletme yanına Halk ve Çevre Sağlığı eklenmelidir.","İşletme, İşletme Finans",Halk ve Çevre Sağlığı,Çevre Bilimleri,KRİTİK (Farklı Ana Disiplin),0.753864297021864,0.9289327849922104,-1,0.3,Sosyal > Sosyal > İşletme | Sosyal > Sosyal > İşletme Finans,Fen > Tıp > Halk ve Çevre Sağlığı,0.3475174307823181,1.0,0,1
1366500,Artificial Intelligence and Large Language Models: Editorial Reflections,TP-1,"Yapay zekâ ve büyük dil modellerinin editöryal yansımalarının incelendiği bir Bilgisayar Bilimleri ve Yapay Zeka çalışmasıdır; veri tabanındaki 'Anestezi' etiketi sistemsel çöp veridir. Hatalı tıp etiketi tamamen temizlenerek doğrudan Bilgisayar Bilimleri, Yapay Zeka alanına taşınmalıdır (TP-1 tam düzeltme).",Anestezi,"Bilgisayar Bilimleri, Yapay Zeka",Bilgisayar Bilimleri,YÜKSEK (Farklı Alt Alan),0.7332274255306401,0.7675617325905476,-1,0.8,Fen > Tıp > Anestezi,"Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka",0.4038199782371521,1.0,1,1
1305500,Turizm Sektöründe Çalışanlar Üzerine Yapılmış Lisansüstü Tezlerin Bibliyometrik Analizi (Bibliometric Analysis of Graduate Theses on Employees in the Tourism Sector),TP-1,Doğrudan veri girişi hatasıdır; makale nükleer bilimle ilgisiz olup tamamen turizm/otelcilik alanına aittir.,Nükleer Bilim ve Teknolojisi,"Otelcilik, Konaklama, Spor ve Turizm",Otelcilik,KRİTİK (Farklı Ana Disiplin),0.7240657742693206,0.9405833108719908,-1,0.3,Fen > Mühendislik > Nükleer Bilim ve Teknolojisi,"Sosyal > Sosyal > Otelcilik, Konaklama, Spor ve Turizm",0.2540569901466369,1.0,0,1
1436146,BİLGİ KURAMI BAĞLAMINDA KEHANET İLETİŞİMİ VE ASTROLOJİNİN SOSYAL MEDYADA YER ALIŞ BİÇİMLERİ,FP-1,"Sosyal medyada astroloji hesaplarının içerik ve iletişim analizi yapılmıştır; ""gezegen/astroloji"" kelimeleri modeli Astronomiye yanıltmıştır (Mevcut İletişim etiketi doğrudur).",İletişim,Astronomi ve Astrofizik,Astronomi ve Astrofizik,KRİTİK (Farklı Ana Disiplin),0.7229414532009064,0.8864338554633853,-1,0.5,Sosyal > Sosyal > İletişim,Fen > Temel Bilimler > Astronomi ve Astrofizik,0.2895228266716003,1.0,0,1
1402334,Farklı Işık Dalga Boylarında Kürlenen Harçların Mekanik Özelliklerinin İncelenmesi,TP-2,Farklı ışık dalga boylarında kürlenen inşaat harçlarının mekanik özelliklerinin incelendiği bir inşaat mühendisliği ve yapı malzemeleri araştırmasıdır; modelin 'Optik' önerisi ışık dalga boyu ifadesinden kaynaklanan terim yanılgısıdır. Mevcut İnşaat Mühendisliği etiketinin yanına Malzeme Bilimleri alanı eklenmelidir (TP-2 melez çalışma).,"İnşaat Mühendisliği, İnşaat ve Yapı Teknolojisi",Optik,Malzeme Bilimleri,YÜKSEK (Farklı Alt Alan),0.7186242848437181,0.952747660796305,-1,0.5,Fen > Mühendislik > İnşaat Mühendisliği | Fen > Mühendislik > İnşaat ve Yapı Teknolojisi,Fen > Temel Bilimler > Optik,0.2298210561275482,1.0,1,1
1326736,Limon servi (Cupressus Macrocarpa) odununun seçili özelliklerinin belirlenmesi ve diğer bazı ağaç türü odunları ile karşılaştırılması,TP-1,Limon servi (Cupressus Macrocarpa) odununun anatomik ve fizyolojik özelliklerinin diğer ağaç türleriyle karşılaştırıldığı bir orman ürünleri ve orman mühendisliği araştırmasıdır; veri tabanındaki 'Optik' etiketi sistemsel çöp veridir. Hatalı etiket tamamen silinerek Orman Mühendisliği alanı ile düzeltilmelidir (TP-1 tam düzeltme).,Optik,Orman Mühendisliği,Malzeme Bilimleri,YÜKSEK (Farklı Alt Alan),0.7039710470054353,0.9216223837986806,-1,0.9,Fen > Temel Bilimler > Optik,Fen > Mühendislik > Orman Mühendisliği,0.2101870030164718,1.0,1,1
1406530,AMBALAJ TASARIMINDA KARTON MAKET YAPIMININ ROLÜ VE BİR UYGULAMA,FP-1,"Ambalaj tasarımında karton maket prototipleme ve estetik-işlevsellik incelemesidir; ""karton/kâğıt"" kelimeleri modeli hatalı şekilde Kâğıt Malzeme Bilimleri alanına yanıltmıştır (Grafik Tasarım/Sanat konusudur).",Sanat,"Malzeme Bilimleri, Kâğıt ve Ahşap",Malzeme Bilimleri,KRİTİK (Farklı Ana Disiplin),0.7022378255554068,0.803181375912042,-1,0.6,Sosyal > Sosyal > Sanat,"Fen > Mühendislik > Malzeme Bilimleri, Kâğıt ve Ahşap",0.289835661649704,1.0,0,1
1238171,Increasing the Biomethane Yield of Hazelnut By-Products by Low Temperature Thermal Pretreatment,TP-1,"Fındık kabuğu lignoselülozik biyokütlesine düşük sıcaklıkta ısıl ön işlem uygulanarak anaerobik sindirimle biyometan/biyogaz eldesi veriminin artırılması ve Gompertz kinetik modellemesinin yapıldığı doğrudan bir biyoyakıt, biyoenerji ve biyokütle enerjisi araştırmasıdır; mevcut kategorideki 'Fizik, Katı Hal, Fizik, Partiküller ve Alanlar' etiketleri tamamen absürt sistemsel çöp veridir. Modelin 'Malzeme Bilimleri, Biyomalzemeler' önerisi biyokütle atığını implant/biyomalzeme sanan bir model yanılgısı olup k-NN yerel uzlaşısının tam isabetle belirlediği Enerji ve Yakıtlar ana disiplinine aktarılmalıdır (TP-1 kategori değişimi).","Fizik, Katı Hal, Fizik, Partiküller ve Alanlar","Malzeme Bilimleri, Biyomalzemeler",Enerji ve Yakıtlar,YÜKSEK (Farklı Alt Alan),0.6972597970653602,0.93479354941409,-1,0.4,"Fen > Temel Bilimler > Fizik, Katı Hal | Fen > Temel Bilimler > Fizik, Partiküller ve Alanlar","Fen > Mühendislik > Malzeme Bilimleri, Biyomalzemeler",0.1816040277481079,1.0,1,1
1360548,Naringeninin Lipozom Yöntemiyle Enkapsülasyonu ve Karakterizasyonu,TP-2,"Düşük biyoyararlanıma sahip naringeninin fosfatidilkolin ve kolesterol ile lipozomal nano-taşıyıcı enkapsülasyonunun geliştirildiği, partikül boyutu (207 nm), zeta potansiyeli, enkapsülasyon etkinliği (%94.6) ve in vitro salım kinetiğinin karakterize edildiği doğrudan bir farmasötik teknoloji, ilaç taşıyıcı sistemler ve nanobiyomalzeme araştırmasıdır; çalışmada in vivo metabolik/endokrin deneme bulunmayıp modelin 'Endokrinoloji ve Metabolizma' önerisi model yanılgısıdır (FP-1). Mevcut 'Malzeme Bilimleri, Biyomalzemeler' omurgası korunmalı ve k-NN yerel uzlaşısının tam isabetle belirlediği Farmakoloji ve Eczacılık alanı ikincil etiket olarak eklenmelidir (TP-2 melez çalışma).","Malzeme Bilimleri, Biyomalzemeler",Endokrinoloji ve Metabolizma,Farmakoloji ve Eczacılık,YÜKSEK (Farklı Alt Alan),0.6964885119982157,0.9356225090772284,-1,0.4,"Fen > Mühendislik > Malzeme Bilimleri, Biyomalzemeler",Fen > Tıp > Endokrinoloji ve Metabolizma,0.1788082420825958,1.0,1,1
