subject_fullname,target,selected_count,target_reached,api_total
Sosyal > Sosyal > İş,150,1,False,1
Fen > Diş Hekimliği > Diş Hekimliği,150,150,True,10535
Fen > Eczacılık > Farmakoloji ve Eczacılık,150,150,True,6933
Fen > Eczacılık > Toksikoloji,150,150,True,3146
"Fen > Mühendislik > Bilgisayar Bilimleri, Bilgi Sistemleri",150,150,True,2404
"Fen > Mühendislik > Bilgisayar Bilimleri, Donanım ve Mimari",150,150,True,875
"Fen > Mühendislik > Bilgisayar Bilimleri, Sibernitik",150,150,True,892
"Fen > Mühendislik > Bilgisayar Bilimleri, Teori ve Metotlar",150,150,True,4103
"Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka",150,150,True,7710
"Fen > Mühendislik > Bilgisayar Bilimleri, Yazılım Mühendisliği",150,150,True,16744
Fen > Mühendislik > Denizcilik,150,150,True,1907
Fen > Mühendislik > Endüstri Mühendisliği,150,150,True,4483
Fen > Mühendislik > Enerji ve Yakıtlar,150,150,True,6198
Fen > Mühendislik > Görüntüleme Bilimi ve Fotoğraf Teknolojisi,150,150,True,5286
Fen > Mühendislik > Gıda Bilimi ve Teknolojisi,150,150,True,13139
Fen > Mühendislik > Hücre ve Doku Mühendisliği,150,150,True,1246
Fen > Mühendislik > Jeokimya ve Jeofizik,150,150,True,3633
Fen > Mühendislik > Jeoloji,150,150,True,7043
Fen > Mühendislik > Maden İşletme ve Cevher Hazırlama,150,150,True,2109
"Fen > Mühendislik > Malzeme Bilimleri, Biyomalzemeler",150,150,True,3625
"Fen > Mühendislik > Malzeme Bilimleri, Kaplamalar ve Filmler",150,150,True,1187
"Fen > Mühendislik > Malzeme Bilimleri, Kompozitler",150,150,True,1724
"Fen > Mühendislik > Malzeme Bilimleri, Kâğıt ve Ahşap",150,150,True,1348
"Fen > Mühendislik > Malzeme Bilimleri, Seramik",150,150,True,1860
"Fen > Mühendislik > Malzeme Bilimleri, Tekstil",150,150,True,4789
"Fen > Mühendislik > Malzeme Bilimleri, Özellik ve Test",150,150,True,8929
Fen > Mühendislik > Metalürji Mühendisliği,150,150,True,1987
Fen > Mühendislik > Meteoroloji ve Atmosferik Bilimler,150,150,True,2001
Fen > Mühendislik > Mimarlık,150,150,True,9089
"Fen > Mühendislik > Mühendislik, Biyotıp",150,150,True,2311
"Fen > Mühendislik > Mühendislik, Deniz",150,150,True,2261
"Fen > Mühendislik > Mühendislik, Elektrik ve Elektronik",150,150,True,8796
"Fen > Mühendislik > Mühendislik, Hava ve Uzay",150,150,True,1616
"Fen > Mühendislik > Mühendislik, Jeoloji",150,150,True,2748
"Fen > Mühendislik > Mühendislik, Kimya",150,150,True,6484
"Fen > Mühendislik > Mühendislik, Makine",150,150,True,7454
"Fen > Mühendislik > Mühendislik, Petrol",150,150,True,342
Fen > Mühendislik > Nanobilim ve Nanoteknoloji,150,150,True,5910
Fen > Mühendislik > Nükleer Bilim ve Teknolojisi,150,150,True,672
Fen > Mühendislik > Orman Mühendisliği,150,150,True,2250
Fen > Mühendislik > Polimer Bilimi,150,150,True,1555
Fen > Mühendislik > Robotik,150,150,True,1675
Fen > Mühendislik > Savunma Bilimleri,150,150,True,1075
Fen > Mühendislik > Taşınım Bilimi ve Teknolojisi,150,150,True,878
Fen > Mühendislik > Telekomünikasyon,150,150,True,1090
"Fen > Mühendislik > Yeşil, Sürdürülebilir Bilim ve Teknoloji",150,150,True,4620
Fen > Mühendislik > Çevre Mühendisliği,150,150,True,5809
Fen > Mühendislik > İmalat Mühendisliği,150,150,True,2818
Fen > Mühendislik > İnşaat Mühendisliği,150,150,True,10186
Fen > Mühendislik > İnşaat ve Yapı Teknolojisi,150,150,True,2704
Fen > Temel Bilimler > Akustik,150,150,True,672
Fen > Temel Bilimler > Astronomi ve Astrofizik,150,150,True,865
Fen > Temel Bilimler > Balıkçılık,150,150,True,6401
Fen > Temel Bilimler > Biyoloji,150,150,True,40875
Fen > Temel Bilimler > Biyoloji Çeşitliliğinin Korunması,150,150,True,2304
Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,150,150,True,6006
Fen > Temel Bilimler > Ekoloji,150,150,True,3745
Fen > Temel Bilimler > Entomoloji,150,150,True,5899
"Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma",150,150,True,744
"Fen > Temel Bilimler > Fizik, Atomik ve Moleküler Kimya",150,150,True,1779
"Fen > Temel Bilimler > Fizik, Katı Hal",150,150,True,1682
"Fen > Temel Bilimler > Fizik, Matematik",150,150,True,1531
"Fen > Temel Bilimler > Fizik, Nükleer",150,150,True,807
"Fen > Temel Bilimler > Fizik, Partiküller ve Alanlar",150,150,True,1202
"Fen > Temel Bilimler > Fizik, Uygulamalı",150,150,True,7325
Fen > Temel Bilimler > Fizikokimya,150,150,True,2309
Fen > Temel Bilimler > Genetik ve Kalıtım,150,150,True,7708
"Fen > Temel Bilimler > Kimya, Analitik",150,150,True,6041
"Fen > Temel Bilimler > Kimya, Organik",150,150,True,4771
"Fen > Temel Bilimler > Kimya, Tıbbi",150,150,True,10571
"Fen > Temel Bilimler > Kimya, Uygulamalı",150,150,True,5967
"Fen > Temel Bilimler > Kimya, İnorganik ve Nükleer",150,150,True,2406
Fen > Temel Bilimler > Kuş Bilimi,150,150,True,630
Fen > Temel Bilimler > Limnoloji,150,150,True,748
Fen > Temel Bilimler > Mantar Bilimi,150,150,True,3026
Fen > Temel Bilimler > Matematik,150,150,True,16806
Fen > Temel Bilimler > Mikroskopi,150,150,True,4215
Fen > Temel Bilimler > Mineraloji,150,150,True,1763
Fen > Temel Bilimler > Optik,150,150,True,1818
Fen > Temel Bilimler > Oşinografi,150,150,True,1380
Fen > Temel Bilimler > Paleontoloji,150,150,True,807
Fen > Temel Bilimler > Parazitoloji,150,150,True,4098
Fen > Temel Bilimler > Spektroskopi,150,150,True,1529
Fen > Temel Bilimler > Su Kaynakları,150,150,True,4784
Fen > Temel Bilimler > Termodinamik,150,150,True,2542
Fen > Temel Bilimler > Viroloji,150,150,True,4363
Fen > Temel Bilimler > Zooloji,150,150,True,6961
Fen > Temel Bilimler > Çevre Bilimleri,150,150,True,16889
Fen > Temel Bilimler > İstatistik ve Olasılık,150,150,True,11911
Fen > Tıp > Acil Tıp,150,150,True,7538
Fen > Tıp > Adli Tıp,150,150,True,3409
Fen > Tıp > Alerji,150,150,True,1810
Fen > Tıp > Anatomi ve Morfoloji,150,150,True,3896
Fen > Tıp > Androloji,150,150,True,1968
Fen > Tıp > Anestezi,150,150,True,7100
Fen > Tıp > Biyofizik,150,150,True,415
Fen > Tıp > Biyokimya ve Moleküler Biyoloji,150,150,True,12430
Fen > Tıp > Biyoteknoloji ve Uygulamalı Mikrobiyoloji,150,150,True,8211
Fen > Tıp > Cerrahi,150,150,True,24065
Fen > Tıp > Dermatoloji,150,150,True,7446
Fen > Tıp > Endokrinoloji ve Metabolizma,150,150,True,10136
Fen > Tıp > Enfeksiyon Hastalıkları,150,150,True,6998
Fen > Tıp > Fizyoloji,150,150,True,1670
Fen > Tıp > Gastroenteroloji ve Hepatoloji,150,150,True,6337
Fen > Tıp > Genel ve Dahili Tıp,150,150,True,85008
Fen > Tıp > Geriatri ve Gerontoloji,150,150,True,4144
Fen > Tıp > Göz Hastalıkları,150,150,True,11496
Fen > Tıp > Halk ve Çevre Sağlığı,150,150,True,13487
Fen > Tıp > Hematoloji,150,150,True,7393
Fen > Tıp > Hücre Biyolojisi,150,150,True,3309
Fen > Tıp > Kadın Hastalıkları ve Doğum,150,150,True,19357
Fen > Tıp > Kalp ve Kalp Damar Sistemi,150,150,True,24483
Fen > Tıp > Klinik Nöroloji,150,150,True,6223
"Fen > Tıp > Kulak, Burun, Boğaz",150,150,True,6867
Fen > Tıp > Mikrobiyoloji,150,150,True,23674
Fen > Tıp > Nörolojik Bilimler,150,150,True,15702
Fen > Tıp > Odyoloji ve Konuşma-Dil Patolojisi,150,150,True,1300
Fen > Tıp > Onkoloji,150,150,True,27118
Fen > Tıp > Ortopedi,150,150,True,8403
Fen > Tıp > Patoloji,150,150,True,30785
Fen > Tıp > Pediatri,150,150,True,21916
Fen > Tıp > Periferik Damar Hastalıkları,150,150,True,3405
Fen > Tıp > Psikiyatri,150,150,True,9910
"Fen > Tıp > Radyoloji, Nükleer Tıp, Tıbbi Görüntüleme",150,150,True,8061
Fen > Tıp > Rehabilitasyon,150,150,True,4586
Fen > Tıp > Romatoloji,150,150,True,7135
Fen > Tıp > Sağlık Bilimleri ve Hizmetleri,150,150,True,24773
Fen > Tıp > Solunum Sistemi,150,150,True,11677
Fen > Tıp > Spor Bilimleri,150,150,True,6543
