subject_fullname,target,selected_count,target_reached,api_total
Sosyal > Sosyal > İş,50,1,False,1
Fen > Diş Hekimliği > Diş Hekimliği,50,50,True,10240
Fen > Eczacılık > Farmakoloji ve Eczacılık,50,50,True,6875
Fen > Eczacılık > Toksikoloji,50,50,True,3119
"Fen > Mühendislik > Bilgisayar Bilimleri, Bilgi Sistemleri",50,50,True,2378
"Fen > Mühendislik > Bilgisayar Bilimleri, Donanım ve Mimari",50,50,True,871
"Fen > Mühendislik > Bilgisayar Bilimleri, Sibernitik",50,50,True,892
"Fen > Mühendislik > Bilgisayar Bilimleri, Teori ve Metotlar",50,50,True,4099
"Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka",50,50,True,7438
"Fen > Mühendislik > Bilgisayar Bilimleri, Yazılım Mühendisliği",50,50,True,16721
Fen > Mühendislik > Denizcilik,50,50,True,1903
Fen > Mühendislik > Endüstri Mühendisliği,50,50,True,4442
Fen > Mühendislik > Enerji ve Yakıtlar,50,50,True,6093
Fen > Mühendislik > Görüntüleme Bilimi ve Fotoğraf Teknolojisi,50,50,True,5254
Fen > Mühendislik > Gıda Bilimi ve Teknolojisi,50,50,True,13061
Fen > Mühendislik > Hücre ve Doku Mühendisliği,50,50,True,1245
Fen > Mühendislik > Jeokimya ve Jeofizik,50,50,True,3621
Fen > Mühendislik > Jeoloji,50,50,True,7031
Fen > Mühendislik > Maden İşletme ve Cevher Hazırlama,50,50,True,2103
"Fen > Mühendislik > Malzeme Bilimleri, Biyomalzemeler",50,50,True,3617
"Fen > Mühendislik > Malzeme Bilimleri, Kaplamalar ve Filmler",50,50,True,1170
"Fen > Mühendislik > Malzeme Bilimleri, Kompozitler",50,50,True,1695
"Fen > Mühendislik > Malzeme Bilimleri, Kâğıt ve Ahşap",50,50,True,1343
"Fen > Mühendislik > Malzeme Bilimleri, Seramik",50,50,True,1855
"Fen > Mühendislik > Malzeme Bilimleri, Tekstil",50,50,True,4769
"Fen > Mühendislik > Malzeme Bilimleri, Özellik ve Test",50,50,True,8884
Fen > Mühendislik > Metalürji Mühendisliği,50,50,True,1960
Fen > Mühendislik > Meteoroloji ve Atmosferik Bilimler,50,50,True,1986
Fen > Mühendislik > Mimarlık,50,50,True,9053
"Fen > Mühendislik > Mühendislik, Biyotıp",50,50,True,2286
"Fen > Mühendislik > Mühendislik, Deniz",50,50,True,2252
"Fen > Mühendislik > Mühendislik, Elektrik ve Elektronik",50,50,True,8694
"Fen > Mühendislik > Mühendislik, Hava ve Uzay",50,50,True,1602
"Fen > Mühendislik > Mühendislik, Jeoloji",50,50,True,2737
"Fen > Mühendislik > Mühendislik, Kimya",50,50,True,6478
"Fen > Mühendislik > Mühendislik, Makine",50,50,True,7388
"Fen > Mühendislik > Mühendislik, Petrol",50,50,True,339
Fen > Mühendislik > Nanobilim ve Nanoteknoloji,50,50,True,5882
Fen > Mühendislik > Nükleer Bilim ve Teknolojisi,50,50,True,670
Fen > Mühendislik > Orman Mühendisliği,50,50,True,2233
Fen > Mühendislik > Polimer Bilimi,50,50,True,1528
Fen > Mühendislik > Robotik,50,50,True,1661
Fen > Mühendislik > Savunma Bilimleri,50,50,True,1055
Fen > Mühendislik > Taşınım Bilimi ve Teknolojisi,50,50,True,851
Fen > Mühendislik > Telekomünikasyon,50,50,True,1055
"Fen > Mühendislik > Yeşil, Sürdürülebilir Bilim ve Teknoloji",50,50,True,4550
Fen > Mühendislik > Çevre Mühendisliği,50,50,True,5785
Fen > Mühendislik > İmalat Mühendisliği,50,50,True,2766
Fen > Mühendislik > İnşaat Mühendisliği,50,50,True,10128
Fen > Mühendislik > İnşaat ve Yapı Teknolojisi,50,50,True,2652
Fen > Temel Bilimler > Akustik,50,50,True,668
Fen > Temel Bilimler > Astronomi ve Astrofizik,50,50,True,863
Fen > Temel Bilimler > Balıkçılık,50,50,True,6376
Fen > Temel Bilimler > Biyoloji,50,50,True,40873
Fen > Temel Bilimler > Biyoloji Çeşitliliğinin Korunması,50,50,True,2296
Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,50,50,True,5991
Fen > Temel Bilimler > Ekoloji,50,50,True,3732
Fen > Temel Bilimler > Entomoloji,50,50,True,5885
"Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma",50,50,True,741
"Fen > Temel Bilimler > Fizik, Atomik ve Moleküler Kimya",50,50,True,1779
"Fen > Temel Bilimler > Fizik, Katı Hal",50,50,True,1674
"Fen > Temel Bilimler > Fizik, Matematik",50,50,True,1530
"Fen > Temel Bilimler > Fizik, Nükleer",50,50,True,805
"Fen > Temel Bilimler > Fizik, Partiküller ve Alanlar",50,50,True,1200
"Fen > Temel Bilimler > Fizik, Uygulamalı",50,50,True,7320
Fen > Temel Bilimler > Fizikokimya,50,50,True,2300
Fen > Temel Bilimler > Genetik ve Kalıtım,50,50,True,7681
"Fen > Temel Bilimler > Kimya, Analitik",50,50,True,6020
"Fen > Temel Bilimler > Kimya, Organik",50,50,True,4759
"Fen > Temel Bilimler > Kimya, Tıbbi",50,50,True,10563
"Fen > Temel Bilimler > Kimya, Uygulamalı",50,50,True,5963
"Fen > Temel Bilimler > Kimya, İnorganik ve Nükleer",50,50,True,2403
Fen > Temel Bilimler > Kuş Bilimi,50,50,True,628
Fen > Temel Bilimler > Limnoloji,50,50,True,747
Fen > Temel Bilimler > Mantar Bilimi,50,50,True,3010
Fen > Temel Bilimler > Matematik,50,50,True,16756
Fen > Temel Bilimler > Mikroskopi,50,50,True,4212
Fen > Temel Bilimler > Mineraloji,50,50,True,1761
Fen > Temel Bilimler > Optik,50,50,True,1808
Fen > Temel Bilimler > Oşinografi,50,50,True,1379
Fen > Temel Bilimler > Paleontoloji,50,50,True,807
Fen > Temel Bilimler > Parazitoloji,50,50,True,4078
Fen > Temel Bilimler > Spektroskopi,50,50,True,1517
Fen > Temel Bilimler > Su Kaynakları,50,50,True,4752
Fen > Temel Bilimler > Termodinamik,50,50,True,2522
Fen > Temel Bilimler > Viroloji,50,50,True,4349
Fen > Temel Bilimler > Zooloji,50,50,True,6955
Fen > Temel Bilimler > Çevre Bilimleri,50,50,True,16834
Fen > Temel Bilimler > İstatistik ve Olasılık,50,50,True,11891
Fen > Tıp > Acil Tıp,50,50,True,7501
Fen > Tıp > Adli Tıp,50,50,True,3361
Fen > Tıp > Alerji,50,50,True,1803
Fen > Tıp > Anatomi ve Morfoloji,50,50,True,3890
Fen > Tıp > Androloji,50,50,True,1963
Fen > Tıp > Anestezi,50,50,True,7073
Fen > Tıp > Biyofizik,50,50,True,412
Fen > Tıp > Biyokimya ve Moleküler Biyoloji,50,50,True,12398
Fen > Tıp > Biyoteknoloji ve Uygulamalı Mikrobiyoloji,50,50,True,8181
Fen > Tıp > Cerrahi,50,50,True,23978
Fen > Tıp > Dermatoloji,50,50,True,7421
Fen > Tıp > Endokrinoloji ve Metabolizma,50,50,True,10081
Fen > Tıp > Enfeksiyon Hastalıkları,50,50,True,6931
Fen > Tıp > Fizyoloji,50,50,True,1664
Fen > Tıp > Gastroenteroloji ve Hepatoloji,50,50,True,6284
Fen > Tıp > Genel ve Dahili Tıp,50,50,True,85003
Fen > Tıp > Geriatri ve Gerontoloji,50,50,True,4115
Fen > Tıp > Göz Hastalıkları,50,50,True,11465
Fen > Tıp > Halk ve Çevre Sağlığı,50,50,True,13424
Fen > Tıp > Hematoloji,50,50,True,7363
Fen > Tıp > Hücre Biyolojisi,50,50,True,3297
Fen > Tıp > Kadın Hastalıkları ve Doğum,50,50,True,19220
Fen > Tıp > Kalp ve Kalp Damar Sistemi,50,50,True,24429
Fen > Tıp > Klinik Nöroloji,50,50,True,6182
"Fen > Tıp > Kulak, Burun, Boğaz",50,50,True,6850
Fen > Tıp > Mikrobiyoloji,50,50,True,23598
Fen > Tıp > Nörolojik Bilimler,50,50,True,15664
Fen > Tıp > Odyoloji ve Konuşma-Dil Patolojisi,50,50,True,1290
Fen > Tıp > Onkoloji,50,50,True,26998
Fen > Tıp > Ortopedi,50,50,True,8337
Fen > Tıp > Patoloji,50,50,True,30770
Fen > Tıp > Pediatri,50,50,True,21797
Fen > Tıp > Periferik Damar Hastalıkları,50,50,True,3398
Fen > Tıp > Psikiyatri,50,50,True,9824
"Fen > Tıp > Radyoloji, Nükleer Tıp, Tıbbi Görüntüleme",50,50,True,7965
Fen > Tıp > Rehabilitasyon,50,50,True,4531
Fen > Tıp > Romatoloji,50,50,True,7114
Fen > Tıp > Sağlık Bilimleri ve Hizmetleri,50,50,True,24714
Fen > Tıp > Solunum Sistemi,50,50,True,11628
Fen > Tıp > Spor Bilimleri,50,50,True,6454
Fen > Tıp > Tamamlayıcı ve Entegre Tıp,50,50,True,2539
Fen > Tıp > Temel Sağlık Hizmetleri,50,50,True,2398
Fen > Tıp > Transplantasyon,50,50,True,1761
Fen > Tıp > Tropik Tıp,50,50,True,241
Fen > Tıp > Tıbbi Araştırmalar Deneysel,50,50,True,30025
Fen > Tıp > Tıbbi Etik,50,50,True,1812
Fen > Tıp > Tıbbi Laboratuar Teknolojisi,50,50,True,5377
Fen > Tıp > Tıbbi İnformatik,50,50,True,4614
"Fen > Tıp > Yoğun Bakım, Tıp",50,50,True,4608
Fen > Tıp > Üroloji ve Nefroloji,50,50,True,7555
Fen > Tıp > İmmünoloji,50,50,True,5473
Fen > Veterinerlik > Veterinerlik,50,50,True,16058
Fen > Ziraat > Bahçe Bitkileri,50,50,True,11728
Fen > Ziraat > Bitki Bilimleri,50,50,True,16000
Fen > Ziraat > Tarımsal Ekonomi ve Politika,50,50,True,5267
Fen > Ziraat > Ziraat Mühendisliği,50,50,True,17789
"Fen > Ziraat > Ziraat, Toprak Bilimi",50,50,True,4994
Sosyal > Sosyal > Aile Çalışmaları,50,50,True,4643
Sosyal > Sosyal > Antropoloji,50,50,True,5029
Sosyal > Sosyal > Arkeoloji,50,50,True,9444
Sosyal > Sosyal > Asya Çalışmaları,50,50,True,3839
Sosyal > Sosyal > Beslenme ve Diyetetik,50,50,True,9345
Sosyal > Sosyal > Beşeri Bilimler,50,50,True,11576
"Sosyal > Sosyal > Bilgi, Belge Yönetimi",50,50,True,3909
Sosyal > Sosyal > Bilim Felsefesi ve Tarihi,50,50,True,3680
Sosyal > Sosyal > Coğrafya,50,50,True,7210
Sosyal > Sosyal > Davranış Bilimleri,50,50,True,7532
Sosyal > Sosyal > Dil ve Dil Bilim,50,50,True,14361
Sosyal > Sosyal > Din Bilimi,50,50,True,19050
Sosyal > Sosyal > Edebi Teori ve Eleştiri,50,50,True,11558
Sosyal > Sosyal > Edebiyat,50,50,True,22434
Sosyal > Sosyal > Etik,50,50,True,5280
Sosyal > Sosyal > Etnik Çalışmalar,50,50,True,2999
"Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",50,50,True,65960
"Sosyal > Sosyal > Eğitim, Özel",50,50,True,4115
Sosyal > Sosyal > Felsefe,50,50,True,10524
"Sosyal > Sosyal > Film, Radyo, Televizyon",50,50,True,3507
Sosyal > Sosyal > Folklor,50,50,True,10176
Sosyal > Sosyal > Halkla İlişkiler,50,50,True,1571
Sosyal > Sosyal > Hemşirelik,50,50,True,15733
Sosyal > Sosyal > Hukuk,50,50,True,28458
Sosyal > Sosyal > Kadın Araştırmaları,50,50,True,5684
Sosyal > Sosyal > Kamu Yönetimi,50,50,True,16735
Sosyal > Sosyal > Kentsel Çalışmalar,50,50,True,5688
Sosyal > Sosyal > Kriminoloji ve Ceza Bilimi,50,50,True,6660
Sosyal > Sosyal > Kültürel Çalışmalar,50,50,True,8140
Sosyal > Sosyal > Madde Bağımlılığı,50,50,True,2464
Sosyal > Sosyal > Mantık,50,50,True,789
Sosyal > Sosyal > Müzik,50,50,True,3407
Sosyal > Sosyal > Nüfus İstatistikleri Bilimi,50,50,True,4964
Sosyal > Sosyal > Ortaçağ ve Rönesans Çalışmaları,50,50,True,1481
"Sosyal > Sosyal > Otelcilik, Konaklama, Spor ve Turizm",50,50,True,10116
Sosyal > Sosyal > Psikoloji,50,50,True,30756
Sosyal > Sosyal > Sanat,50,50,True,7491
Sosyal > Sosyal > Sağlık Politikaları ve Hizmetleri,50,50,True,21079
Sosyal > Sosyal > Siyasi Bilimler,50,50,True,20835
Sosyal > Sosyal > Sosyal Çalışma,50,50,True,9618
Sosyal > Sosyal > Sosyoloji,50,50,True,16977
Sosyal > Sosyal > Tarih,50,50,True,44496
Sosyal > Sosyal > Tiyatro,50,50,True,1236
Sosyal > Sosyal > Uluslararası İlişkiler,50,50,True,10715
Sosyal > Sosyal > Çevre Çalışmaları,50,50,True,9107
Sosyal > Sosyal > İktisat,50,50,True,41904
Sosyal > Sosyal > İletişim,50,50,True,11004
Sosyal > Sosyal > İşletme,50,50,True,38721
Sosyal > Sosyal > İşletme Finans,50,50,True,9969
