embedding_row,external_id,doi,language,title
0,1198493,10.21597/jist.1173729,ENG,Trophic Status Assessment In Some Lotic Ecosystem In Turkey (Sakarya Basin)
1,1199887,10.33462/jotaf.1207167,TUR,"Sulama Kanalında Limnigraf, Basınç ve Ultrasonik Sensörler Kullanılarak Ölçülen Su Seviyeleri ve Debilerinin Değerlendirilmesi"
2,1201616,10.18016/ksutarimdoga.vi.1058856,TUR,"Türkiye'deki 25 Nehir Havzasından Türkiye Tatlı Su Alg Florası İçin Yeni Kayıtlar, Bölüm I: Bacillariophyta"
3,1201628,10.18016/ksutarimdoga.vi.1129200,TUR,Bolkar Dağları Üzerindeki Bazı Yüksek İrtifa Gölleri Bentik Makroomurgasız Faunası
4,1205328,10.47495/okufbed.1114215,TUR,Kille Çayı (Balıkesir) Fitoplanktonu ve Mevsimsel Değişiminin Bazı Fiziksel ve Kimyasal Değişkenlerle Olan İlişkileri
5,1207229,10.18016/ksutarimdoga.vi.1224789,TUR,Tatlı Su Salyangozlarında Fipronilin Glutatyon ve Histolojisine Etkileri
6,1210981,10.12714/egejfas.40.3.08,TUR,İzmir İç Körfezi sedimentinin Ames genotoksisite testi kullanılarak mutajenitesinin incelenmesi
7,1214875,10.17216/limnofish.1335010,TUR,Türkiye’de Dreissena Türlerinin Dağılımı
8,1220844,10.31594/commagene.1378014,TUR,"Pülümür ve Ovacık (Tunceli, Türkiye) İlçeleri Ephemeroptera Limnofaunası"
9,1220846,10.31594/commagene.1356621,TUR,"Troglophonte Huys & Lee, 2000 (Copepoda, Harpacticoida, Laophontidae) Cinsinin Değiştirilmiş Diyagnozu ve Yeni Bir Türünün Deskripsiyonu"
10,1226476,10.18038/estubtda.1369922,ENG,MINERALOGICAL AND GEOCHEMICAL PROPERTIES OF THE MIOCENE ROCKS OUTCROPPING AROUND TUZLUCA (IĞDIR-TÜRKİYE)
11,1226478,10.18038/estubtda.1370311,ENG,KAOLIN FORMATION IN YATAĞAN (MUĞLA) LIGNITE DEPOSIT
12,1226701,10.53353/atrss.1315960,TUR,Web of Science’da Yer Alan Kuş Gözlemciliği Araştırmalarının Bibliyometrik Profilinin Vosviewer Yazılımı Yardımıyla Belirlenmesi
13,1227634,10.47495/okufbed.1242108,TUR,İstatistikte dağılım fonksiyonu ile Fourier dönüşümü
14,1229911,10.18016/ksutarimdoga.vi.1243071,TUR,Türkiye Latridiidae (Coleoptera) Faunası İçin Yeni Kayıtlar
15,1230282,10.56694/karadearas.1395602,TUR,HAKAS MASALI “ZENGİNLE AVCI”NIN VLADİMİR PROPP’UN YAPISAL ANLATI ÇÖZÜMLEME YÖNTEMİ KAPSAMINDA İNCELENMESİ
