Role,Total_Initial,FP_Removed,TP1_Removed,TP2_Removed,Total_Removed,FP_Retained,TP1_Retained,TP2_Retained,Total_Retained
RESEARCH_FOCUS,186,0,0,0,0,0,33,153,186
METHOD,28,17,1,10,28,0,0,0,0
MATERIAL_OBJECT,35,26,0,9,35,0,0,0,0
CONTEXT,28,18,4,6,28,0,0,0,0
SAMPLE_POPULATION,16,11,0,5,16,0,0,0,0
RESEARCH_TOPIC,18,0,0,0,0,15,1,2,18
LEXICAL_SURFACE,19,0,0,0,0,16,3,0,19
POLYSEMY,3,0,0,0,0,3,0,0,3
SEMANTIC_HUB,18,0,0,0,0,17,1,0,18
NEIGHBORING_DISCIPLINE,37,0,0,0,0,36,0,1,37
CROSS_DOMAIN,0,0,0,0,0,0,0,0,0
NONE/UNCLEAR,0,0,0,0,0,0,0,0,0
