baseline_cluster_id,assigned_subject,article_count,matched_articles,match_rate
0,Sosyal > Sosyal > Aile Çalışmaları,10,5,0.5
1,Fen > Diş Hekimliği > Diş Hekimliği,29,24,0.8275862068965517
2,Fen > Temel Bilimler > Çevre Bilimleri,28,14,0.5
3,Fen > Eczacılık > Farmakoloji ve Eczacılık,29,9,0.3103448275862069
4,"Sosyal > Sosyal > Otelcilik, Konaklama, Spor ve Turizm",30,27,0.9
5,Fen > Mühendislik > Enerji ve Yakıtlar,17,9,0.5294117647058824
6,"Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka",51,35,0.6862745098039216
7,Fen > Temel Bilimler > Parazitoloji,35,13,0.37142857142857144
8,"Fen > Mühendislik > Mühendislik, Makine",35,10,0.2857142857142857
9,Fen > Temel Bilimler > Matematik,11,4,0.36363636363636365
10,Fen > Tıp > Anestezi,17,10,0.5882352941176471
11,"Sosyal > Sosyal > Otelcilik, Konaklama, Spor ve Turizm",32,15,0.46875
12,Fen > Tıp > Pediatri,59,49,0.8305084745762712
13,Sosyal > Sosyal > Kentsel Çalışmalar,51,21,0.4117647058823529
14,Fen > Ziraat > Bitki Bilimleri,58,17,0.29310344827586204
15,Sosyal > Sosyal > Edebiyat,18,16,0.8888888888888888
16,Sosyal > Sosyal > Siyasi Bilimler,25,9,0.36
17,"Sosyal > Sosyal > Bilgi, Belge Yönetimi",54,14,0.25925925925925924
18,Fen > Mühendislik > Nanobilim ve Nanoteknoloji,22,14,0.6363636363636364
19,Fen > Mühendislik > İnşaat Mühendisliği,44,9,0.20454545454545456
20,Fen > Tıp > Cerrahi,31,13,0.41935483870967744
21,Fen > Tıp > Kadın Hastalıkları ve Doğum,48,28,0.5833333333333334
22,Fen > Tıp > Onkoloji,31,26,0.8387096774193549
23,Fen > Temel Bilimler > Biyoloji,13,7,0.5384615384615384
24,Fen > Temel Bilimler > Matematik,52,38,0.7307692307692307
25,Fen > Ziraat > Bitki Bilimleri,19,13,0.6842105263157895
26,"Fen > Mühendislik > Mühendislik, Jeoloji",38,13,0.34210526315789475
27,"Fen > Mühendislik > Bilgisayar Bilimleri, Sibernitik",21,7,0.3333333333333333
28,Fen > Ziraat > Bitki Bilimleri,54,24,0.4444444444444444
29,Fen > Tıp > Psikiyatri,22,20,0.9090909090909091
30,Sosyal > Sosyal > İktisat,39,24,0.6153846153846154
31,Fen > Tıp > Mikrobiyoloji,52,38,0.7307692307692307
32,Fen > Temel Bilimler > Çevre Bilimleri,30,10,0.3333333333333333
33,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,27,9,0.3333333333333333
34,"Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",36,16,0.4444444444444444
35,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,48,23,0.4791666666666667
36,Sosyal > Sosyal > İktisat,27,11,0.4074074074074074
37,Fen > Mühendislik > Metalürji Mühendisliği,32,7,0.21875
38,Fen > Tıp > Acil Tıp,7,4,0.5714285714285714
39,Fen > Tıp > Pediatri,51,12,0.23529411764705882
40,"Fen > Mühendislik > Bilgisayar Bilimleri, Bilgi Sistemleri",5,2,0.4
41,Sosyal > Sosyal > İşletme,32,17,0.53125
42,Sosyal > Sosyal > Tarih,20,15,0.75
43,Fen > Temel Bilimler > Entomoloji,49,23,0.46938775510204084
44,"Fen > Temel Bilimler > Fizik, Partiküller ve Alanlar",25,9,0.36
45,Fen > Temel Bilimler > Çevre Bilimleri,41,15,0.36585365853658536
46,Fen > Temel Bilimler > Matematik,21,4,0.19047619047619047
47,Fen > Tıp > Psikiyatri,11,5,0.45454545454545453
48,"Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka",42,25,0.5952380952380952
49,Sosyal > Sosyal > Tarih,43,16,0.37209302325581395
50,Sosyal > Sosyal > İşletme,37,11,0.2972972972972973
51,"Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma",52,19,0.36538461538461536
52,Fen > Temel Bilimler > Çevre Bilimleri,40,11,0.275
53,"Fen > Mühendislik > Mühendislik, Makine",34,10,0.29411764705882354
54,Fen > Mühendislik > Nanobilim ve Nanoteknoloji,34,20,0.5882352941176471
55,Fen > Tıp > Kadın Hastalıkları ve Doğum,22,8,0.36363636363636365
56,Sosyal > Sosyal > Kadın Araştırmaları,18,6,0.3333333333333333
57,Fen > Tıp > Göz Hastalıkları,16,11,0.6875
58,Sosyal > Sosyal > Sağlık Politikaları ve Hizmetleri,37,27,0.7297297297297297
59,Fen > Mühendislik > Enerji ve Yakıtlar,31,8,0.25806451612903225
60,Fen > Tıp > Psikiyatri,24,6,0.25
61,Fen > Tıp > Onkoloji,19,14,0.7368421052631579
62,Sosyal > Sosyal > Felsefe,31,18,0.5806451612903226
63,Fen > Mühendislik > İnşaat Mühendisliği,48,38,0.7916666666666666
64,Sosyal > Sosyal > Sanat,48,29,0.6041666666666666
65,Sosyal > Sosyal > Beslenme ve Diyetetik,33,15,0.45454545454545453
66,Sosyal > Sosyal > Dil ve Dil Bilim,24,14,0.5833333333333334
67,"Fen > Temel Bilimler > Kimya, Organik",19,13,0.6842105263157895
68,Sosyal > Sosyal > Sağlık Politikaları ve Hizmetleri,44,7,0.1590909090909091
69,"Fen > Mühendislik > Mühendislik, Jeoloji",24,11,0.4583333333333333
70,Fen > Temel Bilimler > Akustik,37,20,0.5405405405405406
71,Sosyal > Sosyal > Kadın Araştırmaları,34,22,0.6470588235294118
72,"Fen > Mühendislik > Mühendislik, Makine",22,7,0.3181818181818182
73,Fen > Tıp > Onkoloji,24,21,0.875
74,Fen > Tıp > Ortopedi,33,15,0.45454545454545453
75,Sosyal > Sosyal > Psikoloji,27,11,0.4074074074074074
76,Sosyal > Sosyal > Hukuk,29,14,0.4827586206896552
77,Fen > Temel Bilimler > Çevre Bilimleri,37,28,0.7567567567567568
78,Fen > Temel Bilimler > Termodinamik,40,14,0.35
79,Fen > Tıp > Anestezi,17,9,0.5294117647058824
80,Sosyal > Sosyal > Folklor,14,7,0.5
81,"Fen > Temel Bilimler > Fizik, Nükleer",56,27,0.48214285714285715
82,Fen > Temel Bilimler > Su Kaynakları,31,21,0.6774193548387096
83,Fen > Tıp > Androloji,33,21,0.6363636363636364
84,Sosyal > Sosyal > Arkeoloji,69,27,0.391304347826087
85,Sosyal > Sosyal > Edebiyat,46,30,0.6521739130434783
86,Fen > Tıp > Kalp ve Kalp Damar Sistemi,32,14,0.4375
87,Fen > Tıp > Ortopedi,43,16,0.37209302325581395
88,Fen > Ziraat > Tarımsal Ekonomi ve Politika,28,18,0.6428571428571429
89,Fen > Ziraat > Bitki Bilimleri,66,48,0.7272727272727273
90,Fen > Mühendislik > Nanobilim ve Nanoteknoloji,34,10,0.29411764705882354
91,Sosyal > Sosyal > Hukuk,23,13,0.5652173913043478
92,Sosyal > Sosyal > Din Bilimi,26,14,0.5384615384615384
93,Fen > Tıp > Dermatoloji,44,11,0.25
94,Fen > Temel Bilimler > Çevre Bilimleri,30,17,0.5666666666666667
95,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,41,12,0.2926829268292683
96,Fen > Tıp > Onkoloji,45,37,0.8222222222222222
97,Sosyal > Sosyal > Sosyoloji,23,9,0.391304347826087
98,Fen > Ziraat > Bitki Bilimleri,43,18,0.4186046511627907
99,Sosyal > Sosyal > Hukuk,26,22,0.8461538461538461
100,"Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka",40,17,0.425
101,Fen > Mühendislik > Hücre ve Doku Mühendisliği,29,14,0.4827586206896552
102,Fen > Mühendislik > Endüstri Mühendisliği,19,5,0.2631578947368421
103,Sosyal > Sosyal > Edebiyat,44,18,0.4090909090909091
104,Sosyal > Sosyal > Din Bilimi,66,41,0.6212121212121212
105,"Fen > Mühendislik > Mühendislik, Jeoloji",11,4,0.36363636363636365
106,Sosyal > Sosyal > Uluslararası İlişkiler,36,29,0.8055555555555556
107,Sosyal > Sosyal > Siyasi Bilimler,16,9,0.5625
108,"Fen > Mühendislik > Mühendislik, Jeoloji",44,16,0.36363636363636365
109,"Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka",18,8,0.4444444444444444
