subject_fullname,external_id,embedding_row,article_label_count,selection_type
Fen > Diş Hekimliği > Diş Hekimliği,1403985,5890,1,REPRESENTATIVE_SINGLE_LABEL
Fen > Diş Hekimliği > Diş Hekimliği,1422936,6178,1,REPRESENTATIVE_SINGLE_LABEL
Fen > Diş Hekimliği > Diş Hekimliği,1396206,4353,1,REPRESENTATIVE_SINGLE_LABEL
Fen > Diş Hekimliği > Diş Hekimliği,1397070,4587,1,REPRESENTATIVE_SINGLE_LABEL
Fen > Diş Hekimliği > Diş Hekimliği,1402710,5857,1,REPRESENTATIVE_SINGLE_LABEL
Fen > Eczacılık > Farmakoloji ve Eczacılık,1403925,5873,1,REPRESENTATIVE_MIXED
Fen > Eczacılık > Farmakoloji ve Eczacılık,1383298,2061,2,REPRESENTATIVE_MIXED
Fen > Eczacılık > Farmakoloji ve Eczacılık,1398241,5002,4,REPRESENTATIVE_MIXED
Fen > Eczacılık > Farmakoloji ve Eczacılık,1395031,4027,2,REPRESENTATIVE_MIXED
Fen > Eczacılık > Farmakoloji ve Eczacılık,1336911,589,3,REPRESENTATIVE_MIXED
Fen > Eczacılık > Toksikoloji,1441993,6616,1,REPRESENTATIVE_MIXED
Fen > Eczacılık > Toksikoloji,1385400,2306,1,REPRESENTATIVE_MIXED
Fen > Eczacılık > Toksikoloji,1388487,2693,3,REPRESENTATIVE_MIXED
Fen > Eczacılık > Toksikoloji,1398227,4993,4,REPRESENTATIVE_MIXED
Fen > Eczacılık > Toksikoloji,1434421,6413,3,REPRESENTATIVE_MIXED
"Fen > Mühendislik > Bilgisayar Bilimleri, Bilgi Sistemleri",1380436,1801,1,REPRESENTATIVE_SINGLE_LABEL
"Fen > Mühendislik > Bilgisayar Bilimleri, Bilgi Sistemleri",1315912,423,1,REPRESENTATIVE_SINGLE_LABEL
"Fen > Mühendislik > Bilgisayar Bilimleri, Bilgi Sistemleri",1352584,763,1,REPRESENTATIVE_SINGLE_LABEL
"Fen > Mühendislik > Bilgisayar Bilimleri, Bilgi Sistemleri",1398866,5206,1,REPRESENTATIVE_SINGLE_LABEL
"Fen > Mühendislik > Bilgisayar Bilimleri, Bilgi Sistemleri",1374680,1429,1,REPRESENTATIVE_SINGLE_LABEL
"Fen > Mühendislik > Bilgisayar Bilimleri, Donanım ve Mimari",1332300,534,1,REPRESENTATIVE_MIXED
"Fen > Mühendislik > Bilgisayar Bilimleri, Donanım ve Mimari",1295597,269,3,REPRESENTATIVE_MIXED
"Fen > Mühendislik > Bilgisayar Bilimleri, Donanım ve Mimari",1381135,1868,2,REPRESENTATIVE_MIXED
"Fen > Mühendislik > Bilgisayar Bilimleri, Donanım ve Mimari",1262023,121,2,REPRESENTATIVE_MIXED
"Fen > Mühendislik > Bilgisayar Bilimleri, Donanım ve Mimari",1258659,86,2,REPRESENTATIVE_MIXED
"Fen > Mühendislik > Bilgisayar Bilimleri, Sibernitik",1373978,1387,2,REPRESENTATIVE_MULTI_LABEL_ONLY
"Fen > Mühendislik > Bilgisayar Bilimleri, Sibernitik",1295597,269,3,REPRESENTATIVE_MULTI_LABEL_ONLY
