cluster_id,subject_fullname
0,Fen > Diş Hekimliği > Diş Hekimliği
1,Fen > Eczacılık > Farmakoloji ve Eczacılık
2,Fen > Eczacılık > Toksikoloji
3,"Fen > Mühendislik > Bilgisayar Bilimleri, Bilgi Sistemleri"
4,"Fen > Mühendislik > Bilgisayar Bilimleri, Donanım ve Mimari"
5,"Fen > Mühendislik > Bilgisayar Bilimleri, Sibernitik"
6,"Fen > Mühendislik > Bilgisayar Bilimleri, Teori ve Metotlar"
7,"Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka"
8,"Fen > Mühendislik > Bilgisayar Bilimleri, Yazılım Mühendisliği"
9,Fen > Mühendislik > Denizcilik
10,Fen > Mühendislik > Endüstri Mühendisliği
11,Fen > Mühendislik > Enerji ve Yakıtlar
12,Fen > Mühendislik > Görüntüleme Bilimi ve Fotoğraf Teknolojisi
13,Fen > Mühendislik > Gıda Bilimi ve Teknolojisi
14,Fen > Mühendislik > Hücre ve Doku Mühendisliği
15,Fen > Mühendislik > Jeokimya ve Jeofizik
16,Fen > Mühendislik > Jeoloji
17,Fen > Mühendislik > Maden İşletme ve Cevher Hazırlama
18,"Fen > Mühendislik > Malzeme Bilimleri, Biyomalzemeler"
19,"Fen > Mühendislik > Malzeme Bilimleri, Kaplamalar ve Filmler"
20,"Fen > Mühendislik > Malzeme Bilimleri, Kompozitler"
21,"Fen > Mühendislik > Malzeme Bilimleri, Kâğıt ve Ahşap"
22,"Fen > Mühendislik > Malzeme Bilimleri, Seramik"
23,"Fen > Mühendislik > Malzeme Bilimleri, Tekstil"
24,"Fen > Mühendislik > Malzeme Bilimleri, Özellik ve Test"
25,Fen > Mühendislik > Metalürji Mühendisliği
26,Fen > Mühendislik > Meteoroloji ve Atmosferik Bilimler
27,Fen > Mühendislik > Mimarlık
28,"Fen > Mühendislik > Mühendislik, Biyotıp"
29,"Fen > Mühendislik > Mühendislik, Deniz"
30,"Fen > Mühendislik > Mühendislik, Elektrik ve Elektronik"
31,"Fen > Mühendislik > Mühendislik, Hava ve Uzay"
32,"Fen > Mühendislik > Mühendislik, Jeoloji"
33,"Fen > Mühendislik > Mühendislik, Kimya"
34,"Fen > Mühendislik > Mühendislik, Makine"
35,"Fen > Mühendislik > Mühendislik, Petrol"
36,Fen > Mühendislik > Nanobilim ve Nanoteknoloji
37,Fen > Mühendislik > Nükleer Bilim ve Teknolojisi
38,Fen > Mühendislik > Orman Mühendisliği
39,Fen > Mühendislik > Polimer Bilimi
40,Fen > Mühendislik > Robotik
41,Fen > Mühendislik > Savunma Bilimleri
42,Fen > Mühendislik > Taşınım Bilimi ve Teknolojisi
43,Fen > Mühendislik > Telekomünikasyon
