cluster_id,subject_fullname,centroid_shift
0,Fen > Diş Hekimliği > Diş Hekimliği,0.49528733
1,Fen > Eczacılık > Farmakoloji ve Eczacılık,0.53500885
2,Fen > Eczacılık > Toksikoloji,0.4873655
3,"Fen > Mühendislik > Bilgisayar Bilimleri, Bilgi Sistemleri",0.58780986
4,"Fen > Mühendislik > Bilgisayar Bilimleri, Donanım ve Mimari",0.5535467
5,"Fen > Mühendislik > Bilgisayar Bilimleri, Sibernitik",0.60573363
6,"Fen > Mühendislik > Bilgisayar Bilimleri, Teori ve Metotlar",0.5322178
7,"Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka",0.46784037
8,"Fen > Mühendislik > Bilgisayar Bilimleri, Yazılım Mühendisliği",0.5487285
9,Fen > Mühendislik > Denizcilik,0.4505612
10,Fen > Mühendislik > Endüstri Mühendisliği,0.536467
11,Fen > Mühendislik > Enerji ve Yakıtlar,0.4162835
12,Fen > Mühendislik > Görüntüleme Bilimi ve Fotoğraf Teknolojisi,0.65965974
13,Fen > Mühendislik > Gıda Bilimi ve Teknolojisi,0.536686
14,Fen > Mühendislik > Hücre ve Doku Mühendisliği,0.49169788
15,Fen > Mühendislik > Jeokimya ve Jeofizik,0.6770867
16,Fen > Mühendislik > Jeoloji,0.6115472
17,Fen > Mühendislik > Maden İşletme ve Cevher Hazırlama,0.6199216
18,"Fen > Mühendislik > Malzeme Bilimleri, Biyomalzemeler",0.49871922
19,"Fen > Mühendislik > Malzeme Bilimleri, Kaplamalar ve Filmler",0.6112859
20,"Fen > Mühendislik > Malzeme Bilimleri, Kompozitler",0.44891068
21,"Fen > Mühendislik > Malzeme Bilimleri, Kâğıt ve Ahşap",0.5202421
22,"Fen > Mühendislik > Malzeme Bilimleri, Seramik",0.67654365
23,"Fen > Mühendislik > Malzeme Bilimleri, Tekstil",0.42025438
24,"Fen > Mühendislik > Malzeme Bilimleri, Özellik ve Test",0.46176493
25,Fen > Mühendislik > Metalürji Mühendisliği,0.4157627
26,Fen > Mühendislik > Meteoroloji ve Atmosferik Bilimler,0.4402555
27,Fen > Mühendislik > Mimarlık,0.49594614
28,"Fen > Mühendislik > Mühendislik, Biyotıp",0.5036457
29,"Fen > Mühendislik > Mühendislik, Deniz",0.5239186
30,"Fen > Mühendislik > Mühendislik, Elektrik ve Elektronik",0.5265306
31,"Fen > Mühendislik > Mühendislik, Hava ve Uzay",0.50611085
32,"Fen > Mühendislik > Mühendislik, Jeoloji",0.3895862
33,"Fen > Mühendislik > Mühendislik, Kimya",0.5164929
34,"Fen > Mühendislik > Mühendislik, Makine",0.52928025
35,"Fen > Mühendislik > Mühendislik, Petrol",0.5213159
36,Fen > Mühendislik > Nanobilim ve Nanoteknoloji,0.47116318
37,Fen > Mühendislik > Nükleer Bilim ve Teknolojisi,0.61623484
38,Fen > Mühendislik > Orman Mühendisliği,0.52612877
39,Fen > Mühendislik > Polimer Bilimi,0.43464106
40,Fen > Mühendislik > Robotik,0.48843312
41,Fen > Mühendislik > Savunma Bilimleri,0.5528941
42,Fen > Mühendislik > Taşınım Bilimi ve Teknolojisi,0.48677668
43,Fen > Mühendislik > Telekomünikasyon,0.4889452
44,"Fen > Mühendislik > Yeşil, Sürdürülebilir Bilim ve Teknoloji",0.4303347
