embedding_row,external_id,doi,language,title,cluster_id,initial_seed_subject
0,1198493,10.21597/jist.1173729,ENG,Trophic Status Assessment In Some Lotic Ecosystem In Turkey (Sakarya Basin),53,Fen > Temel Bilimler > Biyoloji Çeşitliliğinin Korunması
1,1199887,10.33462/jotaf.1207167,TUR,"Sulama Kanalında Limnigraf, Basınç ve Ultrasonik Sensörler Kullanılarak Ölçülen Su Seviyeleri ve Debilerinin Değerlendirilmesi",82,Fen > Temel Bilimler > Su Kaynakları
3,1201628,10.18016/ksutarimdoga.vi.1129200,TUR,Bolkar Dağları Üzerindeki Bazı Yüksek İrtifa Gölleri Bentik Makroomurgasız Faunası,72,Fen > Temel Bilimler > Limnoloji
4,1205328,10.47495/okufbed.1114215,TUR,Kille Çayı (Balıkesir) Fitoplanktonu ve Mevsimsel Değişiminin Bazı Fiziksel ve Kimyasal Değişkenlerle Olan İlişkileri,54,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi
5,1207229,10.18016/ksutarimdoga.vi.1224789,TUR,Tatlı Su Salyangozlarında Fipronilin Glutatyon ve Histolojisine Etkileri,96,Fen > Tıp > Biyoteknoloji ve Uygulamalı Mikrobiyoloji
6,1210981,10.12714/egejfas.40.3.08,TUR,İzmir İç Körfezi sedimentinin Ames genotoksisite testi kullanılarak mutajenitesinin incelenmesi,86,Fen > Temel Bilimler > Çevre Bilimleri
7,1214875,10.17216/limnofish.1335010,TUR,Türkiye’de Dreissena Türlerinin Dağılımı,73,Fen > Temel Bilimler > Mantar Bilimi
8,1220844,10.31594/commagene.1378014,TUR,"Pülümür ve Ovacık (Tunceli, Türkiye) İlçeleri Ephemeroptera Limnofaunası",56,Fen > Temel Bilimler > Entomoloji
9,1220846,10.31594/commagene.1356621,TUR,"Troglophonte Huys & Lee, 2000 (Copepoda, Harpacticoida, Laophontidae) Cinsinin Değiştirilmiş Diyagnozu ve Yeni Bir Türünün Deskripsiyonu",85,Fen > Temel Bilimler > Zooloji
11,1226478,10.18038/estubtda.1370311,ENG,KAOLIN FORMATION IN YATAĞAN (MUĞLA) LIGNITE DEPOSIT,76,Fen > Temel Bilimler > Mineraloji
13,1227634,10.47495/okufbed.1242108,TUR,İstatistikte dağılım fonksiyonu ile Fourier dönüşümü,74,Fen > Temel Bilimler > Matematik
14,1229911,10.18016/ksutarimdoga.vi.1243071,TUR,Türkiye Latridiidae (Coleoptera) Faunası İçin Yeni Kayıtlar,56,Fen > Temel Bilimler > Entomoloji
15,1230282,10.56694/karadearas.1395602,TUR,HAKAS MASALI “ZENGİNLE AVCI”NIN VLADİMİR PROPP’UN YAPISAL ANLATI ÇÖZÜMLEME YÖNTEMİ KAPSAMINDA İNCELENMESİ,165,Sosyal > Sosyal > Folklor
16,1232065,10.59313/jsr-a.1380672,ENG,Determination of the species boundaries of genus Dolerus  (Hymenoptera: Tenthredinidae) using the COI gene,56,Fen > Temel Bilimler > Entomoloji
17,1232395,10.17216/limnofish.1327644,TUR,Keban Baraj Gölü ve Hazar Gölü'nde Toksik Mavi-Yeşil Alg Çoğalmaları,72,Fen > Temel Bilimler > Limnoloji
18,1232397,10.17216/limnofish.1272399,TUR,Probiyotiğin Dreissena polymorpha'da Bakır Nanopartikül Birikimi Üzerine Etkisi,36,Fen > Mühendislik > Nanobilim ve Nanoteknoloji
19,1232595,10.24011/barofd.1352729,TUR,Çam Ağaçlarında Mantar Hastalığının İzlenmesi için Üçgen Yeşillik İndeksi Analizi: İHA Tabanlı Bir Yaklaşım,141,Fen > Ziraat > Bitki Bilimleri
20,1232596,10.24011/barofd.1387342,TUR,Ips sexdentatus’un Duyarlılığının Maksimum Entropi (MaxEnt) ile  Modellenmesi,38,Fen > Mühendislik > Orman Mühendisliği
21,1232597,10.24011/barofd.1394942,TUR,Bartın Sökü Yaban Hayatı Geliştirme Sahasının Ornitofaunası,71,Fen > Temel Bilimler > Kuş Bilimi
22,1233236,10.53433/yyufbed.1344576,TUR,"Tekirdağ Topraklarından İzole Edilen İki Dileptid Siliyat Türünün (Ciliophora, Litostomatea, Rhynchostomatia) Morfolojik Karakterizasyonu",79,Fen > Temel Bilimler > Paleontoloji
24,1233239,10.53433/yyufbed.1314716,TUR,Van İli’nde Astragalus L. Cinsine Ait Bazı Endemik Taksonların Taksonomik Özellikleri ve Dağılışları,73,Fen > Temel Bilimler > Mantar Bilimi
25,1233725,10.16984/saufenbilder.1390268,ENG,"Myrmecofauna (Hymenoptera, Formicidae) of Gökçeada Island, Türkiye",56,Fen > Temel Bilimler > Entomoloji
26,1238562,10.17341/gazimmfd.1153044,TUR,Yüksek derecede kurum üreten 2B Gazyağı/Hava difüzyon alevleri üzerinde diferansiyel yayılımın ve basıncın etkileri,57,"Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma"
27,1240629,10.21597/jist.1356367,TUR,Eski ve Yeni Böcek Örneklerinde Farklı DNA İzolasyon Protokollerinin Karşılaştırılması,55,Fen > Temel Bilimler > Ekoloji
28,1240631,10.21597/jist.1424706,TUR,Şanlıurfa'da Yayılış Gösteren Bazı Astragalus L. Türlerinin Palinolojik Olarak İncelenmesi,73,Fen > Temel Bilimler > Mantar Bilimi
29,1240632,10.21597/jist.1399969,ENG,Abnormalities in Some Odonata Larvae Which Do Not Hinder Development,56,Fen > Temel Bilimler > Entomoloji
30,1240814,10.47480/isibted.1494043,TUR,TEK ÜÇGEN SİLİNDİRDEN TÜMLEŞİK ZORLANMIŞ VE DOĞAL TAŞINIM,63,"Fen > Temel Bilimler > Fizik, Uygulamalı"
31,1240815,10.47480/isibted.1494122,TUR,FARKLI GÖZENEKLİLİK VE AÇI DEĞERLERİNE SAHİP GEÇİRGEN AYIRICI PLAKA İLE DAİRESEL BİR SİLİNDİRİN AKIŞ KONTROLÜ,29,"Fen > Mühendislik > Mühendislik, Deniz"
32,1240818,10.47480/isibted.1494159,TUR,FARKLI DELİK GEOMETRİSİNE SAHİP SENTETİK JET AKTÜATÖR DİZİSİ KULLANARAK NACA 0020 HAVA FOLYOSUNUN DURUŞUNUN GECİKTİRİLMESİNE YÖNELİK DENEYSEL ÇALIŞMA,57,"Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma"
33,1240822,10.47480/isibted.1494487,TUR,YÜKSEK LÜMENLİ IŞIK YAYAN DİYOT DİZİLERİNİN PLAKALI ISI EMİCİLERİ İÇİN GENELLEŞTİRİLMİŞ TERMAL OPTİMİZASYON YÖNTEMİ,83,Fen > Temel Bilimler > Termodinamik
34,1240823,10.47480/isibted.1494496,TUR,BEZELYE TANELERİNİN KURUTULMASI: SICAK HAVA KURUTMA KİNETİĞİNİN ÇÖZÜMLENMESİ VE NEM DİFÜZYONU İÇİN MATEMATİKSEL MODELLERİN İNCELENMESİ,83,Fen > Temel Bilimler > Termodinamik
36,1241794,10.31466/kfbd.1400316,TUR,Pestisit Uygulamalarında Kullanılan İçi Dolu Konik Hüzmeli Memelerin Püskürtme Karakteristiklerinin Taguchi Metoduyla Optimizasyonu,2,Fen > Eczacılık > Toksikoloji
37,1242736,10.18615/anadolu.1456609,TUR,"Elma Bahçelerinde Elma İçkurdu ve Kırmızı örümceklere Karşı Kullanılan Bazı İnsektisit ve Akarisitlerin Akdeniz Meyve Sineği, Ceratitis capitata (Diptera:Tephritidae) Üzerinde Etkileri",52,Fen > Temel Bilimler > Biyoloji
38,1242758,10.18615/anadolu.1453157,TUR,Farklı Lokasyonlardan Toplanan Salvia aramiensis Rech. f. Tohumları Üzerine  Önişlem Uygulamalarının Etkisi,53,Fen > Temel Bilimler > Biyoloji Çeşitliliğinin Korunması
39,1242765,10.18615/anadolu.1494763,TUR,Tarla Sarmaşığı (Convolvulus arvensis L.)’nın Bazı Yabancı Otlar ve Test Bitkileri Üzerinde In Vitro Allelopatik Etkisinin Belirlenmesi,143,Fen > Ziraat > Ziraat Mühendisliği
40,1243286,,TUR,Etofenproks’un Genotoksik Etkisinin Drosophila melanogaster’de  Değerlendirilmesi,2,Fen > Eczacılık > Toksikoloji
41,1243292,,TUR,Demir Bazlı Manyetik Nanopartiküllerin Genotoksik Etkilerinin Drosophila  melanogaster’de Araştırılması,36,Fen > Mühendislik > Nanobilim ve Nanoteknoloji
43,1243761,10.33484/sinopfbd.1401042,TUR,Lineer Olmayan Pantograf Diferansiyel Denklemleri İçin Pell Sıralama Yaklaşımı,74,Fen > Temel Bilimler > Matematik
44,1244707,10.30728/boron.1415733,TUR,"Daphnia pulex (Leydig, 1860) Üzerindeki Bor Toksisitesinin Öldürücü Konsantrasyonunun (LC50) Probit Model Kullanılarak Belirlenmesi",2,Fen > Eczacılık > Toksikoloji
45,1245161,10.47495/okufbed.1387185,TUR,Ahmed Cisminde Çukurlu Yüzeyler Kullanmanın Akış Karakteristiklerine Etkisi,34,"Fen > Mühendislik > Mühendislik, Makine"
46,1245579,10.17341/gazimmfd.1202033,TUR,Elektrikli araçların kablosuz güç aktarım sistemi ile şarj edilmesi için kullanılan farklı transformatör modellerinin sonlu elemanlar yöntemi ile tasarımı ve analizi,11,Fen > Mühendislik > Enerji ve Yakıtlar
47,1246048,10.17776/csj.1348667,ENG,"Northernmost Locality Record of the Near Eastern Fire Salamander, Salamandra infraimmaculata (Martens, 1885) (Amphibia: Salamandridae) in Türkiye",73,Fen > Temel Bilimler > Mantar Bilimi
48,1247299,10.28979/jarnas.1350766,ENG,"Optical and Electrical Characterization of Crystallized M:$WO_3$ (Cu, Fe, Ni) Films in Acidic Medium",69,"Fen > Temel Bilimler > Kimya, Uygulamalı"
49,1247303,10.28979/jarnas.1405595,ENG,Hydrothermal Synthesis of CuO Nanoparticles: Tailoring Morphology and Particle Size Variations for Enhanced Properties,69,"Fen > Temel Bilimler > Kimya, Uygulamalı"
50,1247312,10.28979/jarnas.1409809,TUR,Potasyum Borhidrürün Formik Asit Katalizörü Varlığındaki Hidrolizi,11,Fen > Mühendislik > Enerji ve Yakıtlar
51,1247783,10.36846/CJAFS.2024.130,TUR,Zeytinde Eşeysel Uyuşmazlık Durumunun Belirlenmesi ve Uyuşmazlık Araştırmalarında Kullanılabilecek Tozlama Yöntemleri,1,Fen > Eczacılık > Farmakoloji ve Eczacılık
52,1249412,10.18016/ksutarimdoga.vi.1212062,TUR,Seasonal Gene Profiling in Tuz Lake with Regard to Biogeochemical Cycling,72,Fen > Temel Bilimler > Limnoloji
53,1249462,10.18016/ksutarimdoga.vi.1332554,TUR,"İstilâcı Yabancı Bitkilerin Girişi ve Yayılmasında Kuş Göçlerinin Muhtemel Rolü: Bir Durum Tespiti, Solanum elaeagnifolium Cav.",56,Fen > Temel Bilimler > Entomoloji
54,1249535,10.18016/ksutarimdoga.vi.1280166,ENG,"Freshwater Malacofauna and Distribution of Trabzon, Türkiye",85,Fen > Temel Bilimler > Zooloji
55,1249683,10.53516/ajfr.1447058,TUR,Liquidambar orientalis Mill. ve Liquidambar styraciflua L. türlerinin polen morfolojisi,73,Fen > Temel Bilimler > Mantar Bilimi
