cluster_id,initial_seed_subject,article_count,matched_articles,match_rate
0,Fen > Diş Hekimliği > Diş Hekimliği,36,30,0.8333333333333334
1,Fen > Eczacılık > Farmakoloji ve Eczacılık,34,13,0.38235294117647056
2,Fen > Eczacılık > Toksikoloji,38,14,0.3684210526315789
3,"Fen > Mühendislik > Bilgisayar Bilimleri, Bilgi Sistemleri",21,2,0.09523809523809523
4,"Fen > Mühendislik > Bilgisayar Bilimleri, Donanım ve Mimari",23,10,0.43478260869565216
5,"Fen > Mühendislik > Bilgisayar Bilimleri, Sibernitik",46,9,0.1956521739130435
6,"Fen > Mühendislik > Bilgisayar Bilimleri, Teori ve Metotlar",22,5,0.22727272727272727
7,"Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka",58,37,0.6379310344827587
8,"Fen > Mühendislik > Bilgisayar Bilimleri, Yazılım Mühendisliği",14,4,0.2857142857142857
9,Fen > Mühendislik > Denizcilik,27,20,0.7407407407407407
10,Fen > Mühendislik > Endüstri Mühendisliği,21,8,0.38095238095238093
11,Fen > Mühendislik > Enerji ve Yakıtlar,54,43,0.7962962962962963
12,Fen > Mühendislik > Görüntüleme Bilimi ve Fotoğraf Teknolojisi,37,7,0.1891891891891892
13,Fen > Mühendislik > Gıda Bilimi ve Teknolojisi,39,26,0.6666666666666666
14,Fen > Mühendislik > Hücre ve Doku Mühendisliği,25,12,0.48
15,Fen > Mühendislik > Jeokimya ve Jeofizik,58,12,0.20689655172413793
16,Fen > Mühendislik > Jeoloji,32,6,0.1875
17,Fen > Mühendislik > Maden İşletme ve Cevher Hazırlama,14,12,0.8571428571428571
18,"Fen > Mühendislik > Malzeme Bilimleri, Biyomalzemeler",28,11,0.39285714285714285
19,"Fen > Mühendislik > Malzeme Bilimleri, Kaplamalar ve Filmler",24,8,0.3333333333333333
20,"Fen > Mühendislik > Malzeme Bilimleri, Kompozitler",21,7,0.3333333333333333
21,"Fen > Mühendislik > Malzeme Bilimleri, Kâğıt ve Ahşap",16,10,0.625
22,"Fen > Mühendislik > Malzeme Bilimleri, Seramik",13,5,0.38461538461538464
23,"Fen > Mühendislik > Malzeme Bilimleri, Tekstil",18,8,0.4444444444444444
24,"Fen > Mühendislik > Malzeme Bilimleri, Özellik ve Test",30,6,0.2
25,Fen > Mühendislik > Metalürji Mühendisliği,34,18,0.5294117647058824
26,Fen > Mühendislik > Meteoroloji ve Atmosferik Bilimler,43,14,0.32558139534883723
27,Fen > Mühendislik > Mimarlık,24,12,0.5
28,"Fen > Mühendislik > Mühendislik, Biyotıp",10,0,0.0
29,"Fen > Mühendislik > Mühendislik, Deniz",27,12,0.4444444444444444
30,"Fen > Mühendislik > Mühendislik, Elektrik ve Elektronik",25,21,0.84
31,"Fen > Mühendislik > Mühendislik, Hava ve Uzay",30,11,0.36666666666666664
32,"Fen > Mühendislik > Mühendislik, Jeoloji",29,12,0.41379310344827586
33,"Fen > Mühendislik > Mühendislik, Kimya",42,11,0.2619047619047619
34,"Fen > Mühendislik > Mühendislik, Makine",32,16,0.5
35,"Fen > Mühendislik > Mühendislik, Petrol",18,16,0.8888888888888888
36,Fen > Mühendislik > Nanobilim ve Nanoteknoloji,32,21,0.65625
37,Fen > Mühendislik > Nükleer Bilim ve Teknolojisi,27,14,0.5185185185185185
38,Fen > Mühendislik > Orman Mühendisliği,40,28,0.7
39,Fen > Mühendislik > Polimer Bilimi,37,16,0.43243243243243246
40,Fen > Mühendislik > Robotik,19,14,0.7368421052631579
41,Fen > Mühendislik > Savunma Bilimleri,17,11,0.6470588235294118
42,Fen > Mühendislik > Taşınım Bilimi ve Teknolojisi,33,17,0.5151515151515151
43,Fen > Mühendislik > Telekomünikasyon,28,21,0.75
44,"Fen > Mühendislik > Yeşil, Sürdürülebilir Bilim ve Teknoloji",26,7,0.2692307692307692
45,Fen > Mühendislik > Çevre Mühendisliği,24,8,0.3333333333333333
46,Fen > Mühendislik > İmalat Mühendisliği,27,9,0.3333333333333333
47,Fen > Mühendislik > İnşaat Mühendisliği,35,7,0.2
48,Fen > Mühendislik > İnşaat ve Yapı Teknolojisi,52,14,0.2692307692307692
49,Fen > Temel Bilimler > Akustik,31,21,0.6774193548387096
50,Fen > Temel Bilimler > Astronomi ve Astrofizik,28,14,0.5
51,Fen > Temel Bilimler > Balıkçılık,19,11,0.5789473684210527
52,Fen > Temel Bilimler > Biyoloji,42,3,0.07142857142857142
53,Fen > Temel Bilimler > Biyoloji Çeşitliliğinin Korunması,31,5,0.16129032258064516
54,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,28,14,0.5
55,Fen > Temel Bilimler > Ekoloji,22,5,0.22727272727272727
56,Fen > Temel Bilimler > Entomoloji,31,16,0.5161290322580645
57,"Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma",29,14,0.4827586206896552
58,"Fen > Temel Bilimler > Fizik, Atomik ve Moleküler Kimya",29,3,0.10344827586206896
59,"Fen > Temel Bilimler > Fizik, Katı Hal",24,10,0.4166666666666667
60,"Fen > Temel Bilimler > Fizik, Matematik",22,8,0.36363636363636365
61,"Fen > Temel Bilimler > Fizik, Nükleer",35,20,0.5714285714285714
62,"Fen > Temel Bilimler > Fizik, Partiküller ve Alanlar",31,13,0.41935483870967744
63,"Fen > Temel Bilimler > Fizik, Uygulamalı",17,7,0.4117647058823529
64,Fen > Temel Bilimler > Fizikokimya,26,8,0.3076923076923077
65,Fen > Temel Bilimler > Genetik ve Kalıtım,18,9,0.5
