Role,FP_Primary,TP1_Primary,TP2_Primary,TP_All_Primary,FP_Total_Appearances,TP1_Total_Appearances,TP2_Total_Appearances,TP_All_Total_Appearances
RESEARCH_FOCUS,0,33,153,186,0,38,186,224
METHOD,17,1,10,11,21,3,10,13
MATERIAL_OBJECT,26,0,9,9,33,3,10,13
CONTEXT,18,4,6,10,23,5,8,13
SAMPLE_POPULATION,11,0,5,5,13,0,5,5
RESEARCH_TOPIC,15,1,2,3,15,1,2,3
LEXICAL_SURFACE,16,3,0,3,84,4,0,4
POLYSEMY,3,0,0,0,4,0,0,0
SEMANTIC_HUB,17,1,0,1,17,1,0,1
NEIGHBORING_DISCIPLINE,36,0,1,1,40,2,1,3
CROSS_DOMAIN,0,0,0,0,11,1,0,1
NONE/UNCLEAR,0,0,0,0,0,0,0,0
